Month,Unresolved
2014-09,28
2014-08,25
2014-05,26
2014-04,27
2014-07,26
2014-06,26
2014-01,23
2014-03,23
2014-02,23
2010-01,0
2010-03,0
2010-02,0
2013-08,19
2013-09,20
2010-07,0
2010-06,0
2013-04,27
2010-08,0
2013-06,31
2013-07,34
2013-01,28
2013-02,23
2013-03,24
2012-07,18
2010-10,0
2010-11,0
2015-06,23
2015-07,23
2015-04,22
2015-05,22
2015-02,16
2015-03,17
2015-01,16
2014-12,28
2014-10,26
2014-11,27
2011-11,8
2011-10,8
2015-08,23
2011-12,11
2012-09,27
2012-08,19
2012-03,16
2012-02,14
2012-01,14
2010-12,0
2012-06,17
2012-05,17
2012-04,16
2010-05,0
2010-04,0
2011-08,8
2011-09,8
2011-02,0
2011-03,1
2011-01,0
2011-06,9
2011-07,9
2011-04,3
2011-05,4
2010-09,0
2013-05,29
2012-10,31
2012-11,36
2012-12,35
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,23
2013-11,22
2013-10,17
2009-10,0
2009-11,0
2009-12,0
