Month Created,Count,category
2014-09,0,acknowledged_and_closed
2014-09,0,acknowledged
2014-09,5,created
2014-08,1,acknowledged_and_closed
2014-08,1,acknowledged
2014-08,4,created
2014-05,0,acknowledged_and_closed
2014-05,0,acknowledged
2014-05,1,created
2014-04,2,acknowledged_and_closed
2014-04,3,acknowledged
2014-04,4,created
2014-07,0,acknowledged_and_closed
2014-07,0,acknowledged
2014-07,2,created
2014-06,1,acknowledged_and_closed
2014-06,1,acknowledged
2014-06,7,created
2014-01,0,acknowledged_and_closed
2014-01,0,acknowledged
2014-01,0,created
2014-03,0,acknowledged_and_closed
2014-03,0,acknowledged
2014-03,0,created
2014-02,0,acknowledged_and_closed
2014-02,0,acknowledged
2014-02,0,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,0,acknowledged_and_closed
2013-08,0,acknowledged
2013-08,0,created
2013-09,0,acknowledged_and_closed
2013-09,0,acknowledged
2013-09,0,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,0,acknowledged_and_closed
2013-04,0,acknowledged
2013-04,0,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,0,acknowledged_and_closed
2013-06,0,acknowledged
2013-06,0,created
2013-07,0,acknowledged_and_closed
2013-07,0,acknowledged
2013-07,0,created
2013-01,0,acknowledged_and_closed
2013-01,0,acknowledged
2013-01,0,created
2013-02,0,acknowledged_and_closed
2013-02,0,acknowledged
2013-02,0,created
2013-03,0,acknowledged_and_closed
2013-03,0,acknowledged
2013-03,0,created
2012-07,0,acknowledged_and_closed
2012-07,0,acknowledged
2012-07,0,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,0,acknowledged_and_closed
2015-06,0,acknowledged
2015-06,1,created
2015-07,0,acknowledged_and_closed
2015-07,0,acknowledged
2015-07,4,created
2015-04,1,acknowledged_and_closed
2015-04,1,acknowledged
2015-04,8,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,4,created
2015-02,0,acknowledged_and_closed
2015-02,0,acknowledged
2015-02,1,created
2015-03,0,acknowledged_and_closed
2015-03,0,acknowledged
2015-03,2,created
2015-01,0,acknowledged_and_closed
2015-01,0,acknowledged
2015-01,4,created
2014-12,0,acknowledged_and_closed
2014-12,0,acknowledged
2014-12,3,created
2014-10,0,acknowledged_and_closed
2014-10,0,acknowledged
2014-10,3,created
2014-11,0,acknowledged_and_closed
2014-11,0,acknowledged
2014-11,3,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,0,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,0,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,0,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,0,created
2012-09,0,acknowledged_and_closed
2012-09,0,acknowledged
2012-09,0,created
