Month,Unresolved
2014-09,35
2014-08,32
2014-05,28
2014-04,28
2014-07,34
2014-06,38
2014-01,16
2014-03,16
2014-02,11
2010-01,0
2010-03,0
2010-02,0
2013-08,55
2013-09,49
2010-07,0
2010-06,0
2013-04,21
2010-08,0
2013-06,31
2013-07,41
2013-01,11
2013-02,12
2013-03,15
2012-07,4
2010-10,0
2010-11,0
2015-06,119
2015-07,125
2015-04,94
2015-05,107
2015-02,77
2015-03,87
2015-01,72
2014-12,81
2014-10,43
2014-11,59
2011-11,0
2011-10,0
2015-08,147
2011-12,3
2012-09,4
2012-08,4
2012-03,4
2012-02,3
2012-01,3
2010-12,0
2012-06,4
2012-05,4
2012-04,4
2010-05,0
2010-04,0
2011-08,0
2011-09,0
2011-02,0
2011-03,0
2011-01,0
2011-06,0
2011-07,0
2011-04,0
2011-05,0
2010-09,0
2013-05,24
2012-10,4
2012-11,6
2012-12,9
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,15
2013-11,32
2013-10,19
2009-10,0
2009-11,0
2009-12,0
