Month Created,Count,category
2014-09,35,acknowledged_and_closed
2014-09,47,acknowledged
2014-09,53,created
2014-08,19,acknowledged_and_closed
2014-08,27,acknowledged
2014-08,61,created
2014-05,29,acknowledged_and_closed
2014-05,31,acknowledged
2014-05,48,created
2014-04,19,acknowledged_and_closed
2014-04,23,acknowledged
2014-04,40,created
2014-07,37,acknowledged_and_closed
2014-07,39,acknowledged
2014-07,74,created
2014-06,28,acknowledged_and_closed
2014-06,29,acknowledged
2014-06,47,created
2014-01,21,acknowledged_and_closed
2014-01,23,acknowledged
2014-01,32,created
2014-03,16,acknowledged_and_closed
2014-03,21,acknowledged
2014-03,33,created
2014-02,8,acknowledged_and_closed
2014-02,8,acknowledged
2014-02,20,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,33,acknowledged_and_closed
2013-08,34,acknowledged
2013-08,53,created
2013-09,22,acknowledged_and_closed
2013-09,22,acknowledged
2013-09,25,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,21,acknowledged_and_closed
2013-04,21,acknowledged
2013-04,38,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,21,acknowledged_and_closed
2013-06,21,acknowledged
2013-06,37,created
2013-07,26,acknowledged_and_closed
2013-07,27,acknowledged
2013-07,31,created
2013-01,8,acknowledged_and_closed
2013-01,8,acknowledged
2013-01,15,created
2013-02,4,acknowledged_and_closed
2013-02,4,acknowledged
2013-02,8,created
2013-03,11,acknowledged_and_closed
2013-03,11,acknowledged
2013-03,27,created
2012-07,0,acknowledged_and_closed
2012-07,0,acknowledged
2012-07,15,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,33,acknowledged_and_closed
2015-06,41,acknowledged
2015-06,55,created
2015-07,36,acknowledged_and_closed
2015-07,47,acknowledged
2015-07,58,created
2015-04,30,acknowledged_and_closed
2015-04,40,acknowledged
2015-04,60,created
2015-05,22,acknowledged_and_closed
2015-05,28,acknowledged
2015-05,48,created
2015-02,8,acknowledged_and_closed
2015-02,11,acknowledged
2015-02,12,created
2015-03,22,acknowledged_and_closed
2015-03,36,acknowledged
2015-03,46,created
2015-01,9,acknowledged_and_closed
2015-01,14,acknowledged
2015-01,17,created
2014-12,24,acknowledged_and_closed
2014-12,35,acknowledged
2014-12,42,created
2014-10,23,acknowledged_and_closed
2014-10,31,acknowledged
2014-10,40,created
2014-11,12,acknowledged_and_closed
2014-11,24,acknowledged
2014-11,32,created
2011-11,3,acknowledged_and_closed
2011-11,3,acknowledged
2011-11,6,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,0,created
2015-08,15,acknowledged_and_closed
2015-08,16,acknowledged
2015-08,17,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,4,created
2012-09,2,acknowledged_and_closed
2012-09,2,acknowledged
2012-09,6,created
2012-08,0,acknowledged_and_closed
2012-08,0,acknowledged
2012-08,10,created
2012-03,1,acknowledged_and_closed
2012-03,1,acknowledged
2012-03,11,created
2012-02,2,acknowledged_and_closed
2012-02,2,acknowledged
2012-02,5,created
2012-01,0,acknowledged_and_closed
2012-01,0,acknowledged
2012-01,5,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,0,created
2012-06,0,acknowledged_and_closed
2012-06,0,acknowledged
2012-06,12,created
2012-05,0,acknowledged_and_closed
2012-05,0,acknowledged
2012-05,9,created
2012-04,0,acknowledged_and_closed
2012-04,0,acknowledged
2012-04,8,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,0,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,0,acknowledged_and_closed
2011-08,0,acknowledged
2011-08,0,created
2011-09,0,acknowledged_and_closed
2011-09,0,acknowledged
2011-09,0,created
2011-02,0,acknowledged_and_closed
2011-02,0,acknowledged
2011-02,0,created
2011-03,0,acknowledged_and_closed
2011-03,0,acknowledged
2011-03,0,created
2011-01,0,acknowledged_and_closed
2011-01,0,acknowledged
2011-01,0,created
2011-06,0,acknowledged_and_closed
2011-06,0,acknowledged
2011-06,0,created
2011-07,0,acknowledged_and_closed
2011-07,0,acknowledged
2011-07,0,created
2011-04,0,acknowledged_and_closed
2011-04,0,acknowledged
2011-04,0,created
2011-05,0,acknowledged_and_closed
2011-05,0,acknowledged
2011-05,0,created
2010-09,0,acknowledged_and_closed
2010-09,0,acknowledged
2010-09,0,created
2013-05,17,acknowledged_and_closed
2013-05,17,acknowledged
2013-05,33,created
2012-10,5,acknowledged_and_closed
2012-10,5,acknowledged
2012-10,9,created
2012-11,8,acknowledged_and_closed
2012-11,8,acknowledged
2012-11,13,created
2012-12,6,acknowledged_and_closed
2012-12,6,acknowledged
2012-12,23,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,0,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
2008-02,0,acknowledged_and_closed
2008-02,0,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
2008-05,0,acknowledged
2008-05,0,created
2008-06,0,acknowledged_and_closed
2008-06,0,acknowledged
2008-06,0,created
2008-07,0,acknowledged_and_closed
2008-07,0,acknowledged
2008-07,0,created
2009-07,0,acknowledged_and_closed
2009-07,0,acknowledged
2009-07,0,created
2009-06,0,acknowledged_and_closed
2009-06,0,acknowledged
2009-06,0,created
2009-05,0,acknowledged_and_closed
2009-05,0,acknowledged
2009-05,0,created
2009-04,0,acknowledged_and_closed
2009-04,0,acknowledged
2009-04,0,created
2009-03,0,acknowledged_and_closed
2009-03,0,acknowledged
2009-03,0,created
2009-02,0,acknowledged_and_closed
2009-02,0,acknowledged
2009-02,0,created
2009-01,0,acknowledged_and_closed
2009-01,0,acknowledged
2009-01,0,created
2009-09,0,acknowledged_and_closed
2009-09,0,acknowledged
2009-09,0,created
2009-08,0,acknowledged_and_closed
2009-08,0,acknowledged
2009-08,0,created
2013-12,22,acknowledged_and_closed
2013-12,23,acknowledged
2013-12,28,created
2013-11,18,acknowledged_and_closed
2013-11,19,acknowledged
2013-11,24,created
2013-10,38,acknowledged_and_closed
2013-10,38,acknowledged
2013-10,47,created
2009-10,0,acknowledged_and_closed
2009-10,0,acknowledged
2009-10,0,created
2009-11,0,acknowledged_and_closed
2009-11,0,acknowledged
2009-11,0,created
2009-12,0,acknowledged_and_closed
2009-12,0,acknowledged
2009-12,0,created
