Month,Unresolved
2014-09,57
2014-08,51
2014-05,43
2014-04,55
2014-07,46
2014-06,43
2014-01,20
2014-03,55
2014-02,23
2010-01,0
2010-03,0
2010-02,0
2013-08,7
2013-09,11
2010-07,0
2010-06,0
2013-04,2
2010-08,0
2013-06,2
2013-07,4
2013-01,1
2013-02,1
2013-03,2
2012-07,1
2010-10,0
2010-11,0
2015-06,64
2015-07,66
2015-04,65
2015-05,62
2015-02,63
2015-03,62
2015-01,65
2014-12,63
2014-10,59
2014-11,61
2011-11,1
2011-10,1
2015-08,67
2011-12,1
2012-09,1
2012-08,1
2012-03,1
2012-02,1
2012-01,1
2010-12,0
2012-06,1
2012-05,1
2012-04,1
2010-05,0
2010-04,0
2011-08,1
2011-09,1
2011-02,0
2011-03,0
2011-01,0
2011-06,1
2011-07,1
2011-04,1
2011-05,1
2010-09,0
2013-05,2
2012-10,1
2012-11,1
2012-12,1
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,17
2013-11,13
2013-10,11
2009-10,0
2009-11,0
2009-12,0
