Month,Unresolved
2014-09,85
2014-08,79
2014-05,70
2014-04,86
2014-07,78
2014-06,74
2014-01,54
2014-03,86
2014-02,56
2010-01,0
2010-03,0
2010-02,0
2013-08,49
2013-09,50
2010-07,0
2010-06,0
2013-04,52
2010-08,0
2013-06,60
2013-07,68
2013-01,45
2013-02,47
2013-03,53
2012-07,45
2010-10,0
2010-11,0
2015-06,77
2015-07,78
2015-04,81
2015-05,77
2015-02,78
2015-03,80
2015-01,82
2014-12,81
2014-10,81
2014-11,80
2011-11,20
2011-10,18
2015-08,79
2011-12,25
2012-09,52
2012-08,50
2012-03,38
2012-02,37
2012-01,34
2010-12,2
2012-06,43
2012-05,40
2012-04,39
2010-05,0
2010-04,0
2011-08,13
2011-09,15
2011-02,2
2011-03,3
2011-01,2
2011-06,9
2011-07,10
2011-04,7
2011-05,8
2010-09,0
2013-05,61
2012-10,48
2012-11,51
2012-12,49
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,52
2013-11,51
2013-10,49
2009-10,0
2009-11,0
2009-12,0
