Month Created,Count,category
2014-09,0,acknowledged_and_closed
2014-09,0,acknowledged
2014-09,30,created
2014-08,2,acknowledged_and_closed
2014-08,7,acknowledged
2014-08,41,created
2014-05,1,acknowledged_and_closed
2014-05,4,acknowledged
2014-05,35,created
2014-04,5,acknowledged_and_closed
2014-04,5,acknowledged
2014-04,30,created
2014-07,2,acknowledged_and_closed
2014-07,2,acknowledged
2014-07,29,created
2014-06,2,acknowledged_and_closed
2014-06,5,acknowledged
2014-06,25,created
2014-01,1,acknowledged_and_closed
2014-01,3,acknowledged
2014-01,28,created
2014-03,1,acknowledged_and_closed
2014-03,7,acknowledged
2014-03,37,created
2014-02,21,acknowledged_and_closed
2014-02,32,acknowledged
2014-02,141,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,2,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,1,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,3,acknowledged_and_closed
2013-08,3,acknowledged
2013-08,41,created
2013-09,2,acknowledged_and_closed
2013-09,2,acknowledged
2013-09,48,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,1,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,1,created
2013-04,12,acknowledged_and_closed
2013-04,14,acknowledged
2013-04,50,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,1,created
2013-06,9,acknowledged_and_closed
2013-06,11,acknowledged
2013-06,55,created
2013-07,3,acknowledged_and_closed
2013-07,7,acknowledged
2013-07,56,created
2013-01,2,acknowledged_and_closed
2013-01,3,acknowledged
2013-01,33,created
2013-02,7,acknowledged_and_closed
2013-02,7,acknowledged
2013-02,51,created
2013-03,4,acknowledged_and_closed
2013-03,4,acknowledged
2013-03,55,created
2012-07,4,acknowledged_and_closed
2012-07,5,acknowledged
2012-07,47,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,18,created
2010-11,2,acknowledged_and_closed
2010-11,2,acknowledged
2010-11,59,created
2015-06,1,acknowledged_and_closed
2015-06,2,acknowledged
2015-06,32,created
2015-07,0,acknowledged_and_closed
2015-07,1,acknowledged
2015-07,37,created
2015-04,0,acknowledged_and_closed
2015-04,0,acknowledged
2015-04,46,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,44,created
2015-02,2,acknowledged_and_closed
2015-02,2,acknowledged
2015-02,47,created
2015-03,1,acknowledged_and_closed
2015-03,3,acknowledged
2015-03,42,created
2015-01,0,acknowledged_and_closed
2015-01,1,acknowledged
2015-01,58,created
2014-12,4,acknowledged_and_closed
2014-12,5,acknowledged
2014-12,25,created
2014-10,1,acknowledged_and_closed
2014-10,5,acknowledged
2014-10,32,created
2014-11,0,acknowledged_and_closed
2014-11,1,acknowledged
2014-11,28,created
2011-11,3,acknowledged_and_closed
2011-11,6,acknowledged
2011-11,64,created
2011-10,1,acknowledged_and_closed
2011-10,2,acknowledged
2011-10,72,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,1,created
2011-12,4,acknowledged_and_closed
2011-12,9,acknowledged
2011-12,63,created
2012-09,1,acknowledged_and_closed
2012-09,1,acknowledged
2012-09,52,created
