Month,Unresolved
2014-09,21
2014-08,20
2014-05,19
2014-04,17
2014-07,20
2014-06,21
2014-01,8
2014-03,14
2014-02,12
2010-01,0
2010-03,0
2010-02,0
2013-08,9
2013-09,12
2010-07,0
2010-06,0
2013-04,12
2010-08,0
2013-06,15
2013-07,19
2013-01,5
2013-02,9
2013-03,9
2012-07,14
2010-10,0
2010-11,1
2015-06,19
2015-07,21
2015-04,11
2015-05,14
2015-02,7
2015-03,8
2015-01,4
2014-12,2
2014-10,21
2014-11,21
2011-11,7
2011-10,8
2015-08,23
2011-12,7
2012-09,7
2012-08,14
2012-03,8
2012-02,8
2012-01,7
2010-12,1
2012-06,12
2012-05,8
2012-04,8
2010-05,0
2010-04,0
2011-08,8
2011-09,8
2011-02,4
2011-03,6
2011-01,3
2011-06,7
2011-07,7
2011-04,6
2011-05,7
2010-09,0
2013-05,13
2012-10,9
2012-11,13
2012-12,4
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,11
2013-11,14
2013-10,13
2009-10,0
2009-11,0
2009-12,0
