Month,Unresolved
2014-09,19
2014-08,19
2014-05,6
2014-04,7
2014-07,19
2014-06,12
2014-01,12
2014-03,35
2014-02,14
2010-01,0
2010-03,0
2010-02,0
2013-08,18
2013-09,25
2010-07,0
2010-06,0
2013-04,8
2010-08,0
2013-06,14
2013-07,16
2013-01,5
2013-02,6
2013-03,7
2012-07,4
2010-10,1
2010-11,1
2015-06,11
2015-07,9
2015-04,7
2015-05,9
2015-02,6
2015-03,12
2015-01,9
2014-12,7
2014-10,19
2014-11,5
2011-11,2
2011-10,2
2015-08,8
2011-12,2
2012-09,4
2012-08,4
2012-03,2
2012-02,2
2012-01,2
2010-12,2
2012-06,2
2012-05,2
2012-04,2
2010-05,0
2010-04,0
2011-08,2
2011-09,2
2011-02,2
2011-03,2
2011-01,1
2011-06,2
2011-07,2
2011-04,2
2011-05,2
2010-09,0
2013-05,13
2012-10,5
2012-11,5
2012-12,5
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,42
2013-11,44
2013-10,33
2009-10,0
2009-11,0
2009-12,0
