Month Created,Count,category
2014-09,11,acknowledged_and_closed
2014-09,11,acknowledged
2014-09,12,created
2014-08,8,acknowledged_and_closed
2014-08,8,acknowledged
2014-08,10,created
2014-05,9,acknowledged_and_closed
2014-05,9,acknowledged
2014-05,11,created
2014-04,21,acknowledged_and_closed
2014-04,21,acknowledged
2014-04,26,created
2014-07,8,acknowledged_and_closed
2014-07,8,acknowledged
2014-07,9,created
2014-06,16,acknowledged_and_closed
2014-06,16,acknowledged
2014-06,18,created
2014-01,11,acknowledged_and_closed
2014-01,11,acknowledged
2014-01,16,created
2014-03,26,acknowledged_and_closed
2014-03,26,acknowledged
2014-03,31,created
2014-02,62,acknowledged_and_closed
2014-02,62,acknowledged
2014-02,77,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,7,acknowledged_and_closed
2013-08,7,acknowledged
2013-08,10,created
2013-09,12,acknowledged_and_closed
2013-09,12,acknowledged
2013-09,18,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,5,acknowledged_and_closed
2013-04,5,acknowledged
2013-04,9,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,2,acknowledged_and_closed
2013-06,2,acknowledged
2013-06,4,created
2013-07,6,acknowledged_and_closed
2013-07,6,acknowledged
2013-07,8,created
2013-01,2,acknowledged_and_closed
2013-01,2,acknowledged
2013-01,2,created
2013-02,1,acknowledged_and_closed
2013-02,1,acknowledged
2013-02,8,created
2013-03,1,acknowledged_and_closed
2013-03,1,acknowledged
2013-03,3,created
2012-07,0,acknowledged_and_closed
2012-07,0,acknowledged
2012-07,3,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,1,acknowledged_and_closed
2010-11,1,acknowledged
2010-11,4,created
2015-06,12,acknowledged_and_closed
2015-06,13,acknowledged
2015-06,29,created
2015-07,10,acknowledged_and_closed
2015-07,14,acknowledged
2015-07,24,created
2015-04,25,acknowledged_and_closed
2015-04,26,acknowledged
2015-04,28,created
2015-05,8,acknowledged_and_closed
2015-05,10,acknowledged
2015-05,21,created
2015-02,27,acknowledged_and_closed
2015-02,27,acknowledged
2015-02,39,created
2015-03,22,acknowledged_and_closed
2015-03,22,acknowledged
2015-03,23,created
2015-01,8,acknowledged_and_closed
2015-01,8,acknowledged
2015-01,18,created
2014-12,5,acknowledged_and_closed
2014-12,5,acknowledged
2014-12,9,created
2014-10,19,acknowledged_and_closed
2014-10,19,acknowledged
2014-10,23,created
2014-11,9,acknowledged_and_closed
2014-11,9,acknowledged
2014-11,12,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,0,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,2,created
2015-08,0,acknowledged_and_closed
2015-08,1,acknowledged
2015-08,1,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,3,created
2012-09,1,acknowledged_and_closed
2012-09,1,acknowledged
2012-09,1,created
2012-08,1,acknowledged_and_closed
2012-08,1,acknowledged
2012-08,6,created
2012-03,0,acknowledged_and_closed
2012-03,0,acknowledged
2012-03,0,created
2012-02,0,acknowledged_and_closed
2012-02,0,acknowledged
2012-02,1,created
2012-01,0,acknowledged_and_closed
2012-01,0,acknowledged
2012-01,0,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,2,created
2012-06,2,acknowledged_and_closed
2012-06,2,acknowledged
2012-06,3,created
2012-05,0,acknowledged_and_closed
2012-05,0,acknowledged
2012-05,2,created
2012-04,0,acknowledged_and_closed
2012-04,0,acknowledged
2012-04,2,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,0,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,0,acknowledged_and_closed
2011-08,0,acknowledged
2011-08,2,created
2011-09,0,acknowledged_and_closed
2011-09,0,acknowledged
2011-09,1,created
2011-02,0,acknowledged_and_closed
2011-02,0,acknowledged
2011-02,1,created
2011-03,0,acknowledged_and_closed
2011-03,0,acknowledged
2011-03,4,created
2011-01,1,acknowledged_and_closed
2011-01,1,acknowledged
2011-01,6,created
2011-06,0,acknowledged_and_closed
2011-06,0,acknowledged
2011-06,1,created
2011-07,0,acknowledged_and_closed
2011-07,0,acknowledged
2011-07,2,created
2011-04,0,acknowledged_and_closed
2011-04,0,acknowledged
2011-04,1,created
2011-05,0,acknowledged_and_closed
2011-05,0,acknowledged
2011-05,1,created
2010-09,1,acknowledged_and_closed
2010-09,1,acknowledged
2010-09,1,created
2013-05,1,acknowledged_and_closed
2013-05,1,acknowledged
2013-05,5,created
2012-10,0,acknowledged_and_closed
2012-10,0,acknowledged
2012-10,0,created
2012-11,0,acknowledged_and_closed
2012-11,0,acknowledged
2012-11,1,created
2012-12,0,acknowledged_and_closed
2012-12,0,acknowledged
2012-12,1,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,0,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
2008-02,0,acknowledged_and_closed
2008-02,0,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
2008-05,0,acknowledged
2008-05,0,created
2008-06,0,acknowledged_and_closed
2008-06,0,acknowledged
2008-06,0,created
2008-07,0,acknowledged_and_closed
2008-07,0,acknowledged
2008-07,0,created
2009-07,0,acknowledged_and_closed
2009-07,0,acknowledged
2009-07,0,created
2009-06,0,acknowledged_and_closed
2009-06,0,acknowledged
2009-06,0,created
2009-05,0,acknowledged_and_closed
2009-05,0,acknowledged
2009-05,0,created
2009-04,0,acknowledged_and_closed
2009-04,0,acknowledged
2009-04,0,created
2009-03,0,acknowledged_and_closed
2009-03,0,acknowledged
2009-03,0,created
2009-02,0,acknowledged_and_closed
2009-02,0,acknowledged
2009-02,0,created
2009-01,0,acknowledged_and_closed
2009-01,0,acknowledged
2009-01,0,created
2009-09,0,acknowledged_and_closed
2009-09,0,acknowledged
2009-09,0,created
2009-08,0,acknowledged_and_closed
2009-08,0,acknowledged
2009-08,0,created
2013-12,11,acknowledged_and_closed
2013-12,11,acknowledged
2013-12,13,created
2013-11,2,acknowledged_and_closed
2013-11,2,acknowledged
2013-11,5,created
2013-10,18,acknowledged_and_closed
2013-10,18,acknowledged
2013-10,28,created
2009-10,0,acknowledged_and_closed
2009-10,0,acknowledged
2009-10,0,created
2009-11,0,acknowledged_and_closed
2009-11,0,acknowledged
2009-11,0,created
2009-12,0,acknowledged_and_closed
2009-12,0,acknowledged
2009-12,0,created
