Month,Unresolved
2014-09,29
2014-08,29
2014-05,31
2014-04,28
2014-07,28
2014-06,29
2014-01,33
2014-03,29
2014-02,28
2010-01,0
2010-03,0
2010-02,0
2013-08,40
2013-09,41
2010-07,0
2010-06,0
2013-04,33
2010-08,0
2013-06,37
2013-07,36
2013-01,46
2013-02,32
2013-03,32
2012-07,21
2010-10,0
2010-11,0
2015-06,20
2015-07,20
2015-04,18
2015-05,20
2015-02,19
2015-03,18
2015-01,32
2014-12,33
2014-10,31
2014-11,32
2011-11,8
2011-10,8
2015-08,19
2011-12,9
2012-09,27
2012-08,23
2012-03,13
2012-02,13
2012-01,10
2010-12,1
2012-06,19
2012-05,16
2012-04,13
2010-05,0
2010-04,0
2011-08,5
2011-09,5
2011-02,3
2011-03,3
2011-01,3
2011-06,4
2011-07,4
2011-04,3
2011-05,4
2010-09,0
2013-05,34
2012-10,31
2012-11,38
2012-12,43
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,33
2013-11,41
2013-10,40
2009-10,0
2009-11,0
2009-12,0
