Month,Unresolved
2014-09,19
2014-08,17
2014-05,16
2014-04,15
2014-07,17
2014-06,17
2014-01,15
2014-03,15
2014-02,15
2010-01,0
2010-03,0
2010-02,0
2013-08,19
2013-09,21
2010-07,0
2010-06,0
2013-04,4
2010-08,0
2013-06,9
2013-07,13
2013-01,3
2013-02,3
2013-03,4
2012-07,3
2010-10,0
2010-11,0
2015-06,20
2015-07,20
2015-04,19
2015-05,20
2015-02,19
2015-03,19
2015-01,19
2014-12,19
2014-10,19
2014-11,19
2011-11,1
2011-10,1
2015-08,20
2011-12,1
2012-09,3
2012-08,3
2012-03,1
2012-02,1
2012-01,1
2010-12,0
2012-06,1
2012-05,1
2012-04,1
2010-05,0
2010-04,0
2011-08,0
2011-09,0
2011-02,0
2011-03,0
2011-01,0
2011-06,0
2011-07,0
2011-04,0
2011-05,0
2010-09,0
2013-05,5
2012-10,3
2012-11,3
2012-12,3
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,15
2013-11,16
2013-10,15
2009-10,0
2009-11,0
2009-12,0
