Month Created,Count,category
2014-09,0,acknowledged_and_closed
2014-09,0,acknowledged
2014-09,20,created
2014-08,0,acknowledged_and_closed
2014-08,2,acknowledged
2014-08,17,created
2014-05,0,acknowledged_and_closed
2014-05,1,acknowledged
2014-05,25,created
2014-04,1,acknowledged_and_closed
2014-04,2,acknowledged
2014-04,36,created
2014-07,0,acknowledged_and_closed
2014-07,0,acknowledged
2014-07,20,created
2014-06,0,acknowledged_and_closed
2014-06,0,acknowledged
2014-06,35,created
2014-01,0,acknowledged_and_closed
2014-01,0,acknowledged
2014-01,16,created
2014-03,0,acknowledged_and_closed
2014-03,1,acknowledged
2014-03,17,created
2014-02,1,acknowledged_and_closed
2014-02,1,acknowledged
2014-02,17,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,1,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,1,acknowledged_and_closed
2013-08,2,acknowledged
2013-08,20,created
2013-09,1,acknowledged_and_closed
2013-09,1,acknowledged
2013-09,22,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,3,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,4,created
2013-04,1,acknowledged_and_closed
2013-04,1,acknowledged
2013-04,12,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,1,created
2013-06,1,acknowledged_and_closed
2013-06,4,acknowledged
2013-06,37,created
2013-07,3,acknowledged_and_closed
2013-07,6,acknowledged
2013-07,46,created
2013-01,0,acknowledged_and_closed
2013-01,0,acknowledged
2013-01,4,created
2013-02,1,acknowledged_and_closed
2013-02,1,acknowledged
2013-02,6,created
2013-03,0,acknowledged_and_closed
2013-03,0,acknowledged
2013-03,17,created
2012-07,0,acknowledged_and_closed
2012-07,0,acknowledged
2012-07,19,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,2,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,2,created
2015-06,0,acknowledged_and_closed
2015-06,0,acknowledged
2015-06,38,created
2015-07,0,acknowledged_and_closed
2015-07,0,acknowledged
2015-07,36,created
2015-04,0,acknowledged_and_closed
2015-04,1,acknowledged
2015-04,32,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,36,created
2015-02,0,acknowledged_and_closed
2015-02,0,acknowledged
2015-02,6,created
2015-03,1,acknowledged_and_closed
2015-03,1,acknowledged
2015-03,20,created
2015-01,0,acknowledged_and_closed
2015-01,0,acknowledged
2015-01,13,created
2014-12,0,acknowledged_and_closed
2014-12,0,acknowledged
2014-12,10,created
2014-10,0,acknowledged_and_closed
2014-10,0,acknowledged
2014-10,21,created
2014-11,0,acknowledged_and_closed
2014-11,0,acknowledged
2014-11,13,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,3,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,1,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,2,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,3,created
2012-09,0,acknowledged_and_closed
2012-09,0,acknowledged
2012-09,18,created
