Month,Unresolved
2014-09,180
2014-08,158
2014-05,145
2014-04,148
2014-07,153
2014-06,150
2014-01,145
2014-03,142
2014-02,146
2010-01,0
2010-03,0
2010-02,0
2013-08,93
2013-09,147
2010-07,0
2010-06,0
2013-04,0
2010-08,0
2013-06,0
2013-07,0
2013-01,0
2013-02,0
2013-03,0
2012-07,0
2010-10,0
2010-11,0
2015-06,52
2015-07,52
2015-04,55
2015-05,53
2015-02,74
2015-03,65
2015-01,80
2014-12,74
2014-10,186
2014-11,109
2011-11,0
2011-10,0
2015-08,52
2011-12,0
2012-09,0
2012-08,0
2012-03,0
2012-02,0
2012-01,0
2010-12,0
2012-06,0
2012-05,0
2012-04,0
2010-05,0
2010-04,0
2011-08,0
2011-09,0
2011-02,0
2011-03,0
2011-01,0
2011-06,0
2011-07,0
2011-04,0
2011-05,0
2010-09,0
2013-05,0
2012-10,0
2012-11,0
2012-12,0
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,148
2013-11,147
2013-10,146
2009-10,0
2009-11,0
2009-12,0
