Month Created,Count,category
2014-09,11,acknowledged_and_closed
2014-09,15,acknowledged
2014-09,297,created
2014-08,14,acknowledged_and_closed
2014-08,27,acknowledged
2014-08,284,created
2014-05,13,acknowledged_and_closed
2014-05,15,acknowledged
2014-05,340,created
2014-04,4,acknowledged_and_closed
2014-04,4,acknowledged
2014-04,247,created
2014-07,8,acknowledged_and_closed
2014-07,12,acknowledged
2014-07,265,created
2014-06,9,acknowledged_and_closed
2014-06,12,acknowledged
2014-06,278,created
2014-01,3,acknowledged_and_closed
2014-01,3,acknowledged
2014-01,60,created
2014-03,13,acknowledged_and_closed
2014-03,13,acknowledged
2014-03,225,created
2014-02,3,acknowledged_and_closed
2014-02,3,acknowledged
2014-02,172,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,61,acknowledged_and_closed
2013-08,65,acknowledged
2013-08,244,created
2013-09,2,acknowledged_and_closed
2013-09,3,acknowledged
2013-09,41,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,0,acknowledged_and_closed
2013-04,0,acknowledged
2013-04,0,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,0,acknowledged_and_closed
2013-06,0,acknowledged
2013-06,0,created
2013-07,87,acknowledged_and_closed
2013-07,99,acknowledged
2013-07,273,created
2013-01,0,acknowledged_and_closed
2013-01,0,acknowledged
2013-01,0,created
2013-02,0,acknowledged_and_closed
2013-02,0,acknowledged
2013-02,0,created
2013-03,0,acknowledged_and_closed
2013-03,0,acknowledged
2013-03,0,created
2012-07,0,acknowledged_and_closed
2012-07,0,acknowledged
2012-07,0,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,0,acknowledged_and_closed
2015-06,0,acknowledged
2015-06,0,created
2015-07,0,acknowledged_and_closed
2015-07,0,acknowledged
2015-07,0,created
2015-04,0,acknowledged_and_closed
2015-04,0,acknowledged
2015-04,0,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,0,created
2015-02,2,acknowledged_and_closed
2015-02,2,acknowledged
2015-02,137,created
2015-03,0,acknowledged_and_closed
2015-03,0,acknowledged
2015-03,0,created
2015-01,3,acknowledged_and_closed
2015-01,4,acknowledged
2015-01,228,created
2014-12,5,acknowledged_and_closed
2014-12,8,acknowledged
2014-12,144,created
2014-10,12,acknowledged_and_closed
2014-10,13,acknowledged
2014-10,205,created
2014-11,6,acknowledged_and_closed
2014-11,9,acknowledged
2014-11,208,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,0,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,0,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
