Month,Unresolved
2014-09,344
2014-08,333
2014-05,343
2014-04,247
2014-07,319
2014-06,339
2014-01,162
2014-03,247
2014-02,178
2010-01,0
2010-03,0
2010-02,0
2013-08,183
2013-09,192
2010-07,0
2010-06,0
2013-04,111
2010-08,0
2013-06,109
2013-07,161
2013-01,82
2013-02,82
2013-03,104
2012-07,220
2010-10,1
2010-11,1
2015-06,674
2015-07,728
2015-04,683
2015-05,741
2015-02,409
2015-03,438
2015-01,402
2014-12,399
2014-10,336
2014-11,374
2011-11,103
2011-10,92
2015-08,725
2011-12,115
2012-09,74
2012-08,67
2012-03,154
2012-02,145
2012-01,139
2010-12,5
2012-06,211
2012-05,199
2012-04,171
2010-05,0
2010-04,0
2011-08,80
2011-09,90
2011-02,22
2011-03,43
2011-01,10
2011-06,55
2011-07,63
2011-04,45
2011-05,45
2010-09,1
2013-05,93
2012-10,73
2012-11,80
2012-12,85
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,145
2013-11,150
2013-10,150
2009-10,0
2009-11,0
2009-12,0
