Month Created,Count,category
2014-09,29,acknowledged_and_closed
2014-09,44,acknowledged
2014-09,44,created
2014-08,42,acknowledged_and_closed
2014-08,53,acknowledged
2014-08,60,created
2014-05,130,acknowledged_and_closed
2014-05,146,acknowledged
2014-05,175,created
2014-04,109,acknowledged_and_closed
2014-04,155,acknowledged
2014-04,185,created
2014-07,79,acknowledged_and_closed
2014-07,94,acknowledged
2014-07,102,created
2014-06,89,acknowledged_and_closed
2014-06,102,acknowledged
2014-06,129,created
2014-01,31,acknowledged_and_closed
2014-01,64,acknowledged
2014-01,82,created
2014-03,77,acknowledged_and_closed
2014-03,100,acknowledged
2014-03,118,created
2014-02,85,acknowledged_and_closed
2014-02,104,acknowledged
2014-02,123,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,32,acknowledged_and_closed
2013-08,53,acknowledged
2013-08,56,created
2013-09,19,acknowledged_and_closed
2013-09,32,acknowledged
2013-09,34,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,23,acknowledged_and_closed
2013-04,34,acknowledged
2013-04,40,created
2010-08,1,acknowledged_and_closed
2010-08,1,acknowledged
2010-08,1,created
2013-06,44,acknowledged_and_closed
2013-06,69,acknowledged
2013-06,75,created
2013-07,45,acknowledged_and_closed
2013-07,59,acknowledged
2013-07,64,created
2013-01,19,acknowledged_and_closed
2013-01,20,acknowledged
2013-01,22,created
2013-02,36,acknowledged_and_closed
2013-02,38,acknowledged
2013-02,41,created
2013-03,39,acknowledged_and_closed
2013-03,41,acknowledged
2013-03,44,created
2012-07,16,acknowledged_and_closed
2012-07,17,acknowledged
2012-07,22,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,5,created
2010-11,4,acknowledged_and_closed
2010-11,4,acknowledged
2010-11,10,created
2015-06,109,acknowledged_and_closed
2015-06,127,acknowledged
2015-06,139,created
2015-07,59,acknowledged_and_closed
2015-07,97,acknowledged
