Month,Unresolved
2014-09,60
2014-08,59
2014-05,58
2014-04,58
2014-07,59
2014-06,59
2014-01,55
2014-03,55
2014-02,54
2010-01,2
2010-03,2
2010-02,2
2013-08,42
2013-09,47
2010-07,2
2010-06,2
2013-04,23
2010-08,2
2013-06,28
2013-07,33
2013-01,17
2013-02,18
2013-03,18
2012-07,10
2010-10,2
2010-11,2
2015-06,59
2015-07,60
2015-04,60
2015-05,59
2015-02,60
2015-03,61
2015-01,60
2014-12,61
2014-10,60
2014-11,59
2011-11,3
2011-10,3
2015-08,62
2011-12,3
2012-09,14
2012-08,13
2012-03,6
2012-02,6
2012-01,5
2010-12,2
2012-06,9
2012-05,8
2012-04,7
2010-05,2
2010-04,2
2011-08,2
2011-09,3
2011-02,2
2011-03,2
2011-01,2
2011-06,2
2011-07,2
2011-04,2
2011-05,2
2010-09,2
2013-05,25
2012-10,18
2012-11,18
2012-12,18
2007-08,0
2007-07,0
2007-10,0
2008-12,1
2008-11,1
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,1
2009-06,1
2009-05,1
2009-04,1
2009-03,1
2009-02,1
2009-01,1
2009-09,1
2009-08,1
2013-12,52
2013-11,55
2013-10,53
2009-10,1
2009-11,1
2009-12,1
