Month Created,Count,category
2014-09,0,acknowledged_and_closed
2014-09,0,acknowledged
2014-09,7,created
2014-08,0,acknowledged_and_closed
2014-08,1,acknowledged
2014-08,9,created
2014-05,1,acknowledged_and_closed
2014-05,1,acknowledged
2014-05,24,created
2014-04,0,acknowledged_and_closed
2014-04,0,acknowledged
2014-04,24,created
2014-07,0,acknowledged_and_closed
2014-07,0,acknowledged
2014-07,16,created
2014-06,1,acknowledged_and_closed
2014-06,2,acknowledged
2014-06,22,created
2014-01,1,acknowledged_and_closed
2014-01,4,acknowledged
2014-01,5,created
2014-03,1,acknowledged_and_closed
2014-03,3,acknowledged
2014-03,11,created
2014-02,0,acknowledged_and_closed
2014-02,2,acknowledged
2014-02,18,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,3,acknowledged_and_closed
2013-08,7,acknowledged
2013-08,36,created
2013-09,2,acknowledged_and_closed
2013-09,7,acknowledged
2013-09,21,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,1,acknowledged_and_closed
2013-04,2,acknowledged
2013-04,7,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,2,acknowledged_and_closed
2013-06,6,acknowledged
2013-06,19,created
2013-07,4,acknowledged_and_closed
2013-07,15,acknowledged
2013-07,25,created
2013-01,0,acknowledged_and_closed
2013-01,2,acknowledged
2013-01,4,created
2013-02,0,acknowledged_and_closed
2013-02,0,acknowledged
2013-02,4,created
2013-03,3,acknowledged_and_closed
2013-03,5,acknowledged
2013-03,9,created
2012-07,0,acknowledged_and_closed
2012-07,3,acknowledged
2012-07,15,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,1,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,1,created
2015-06,0,acknowledged_and_closed
2015-06,1,acknowledged
2015-06,14,created
2015-07,1,acknowledged_and_closed
2015-07,2,acknowledged
2015-07,17,created
2015-04,0,acknowledged_and_closed
2015-04,0,acknowledged
2015-04,13,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,15,created
2015-02,1,acknowledged_and_closed
2015-02,1,acknowledged
2015-02,4,created
2015-03,0,acknowledged_and_closed
2015-03,0,acknowledged
2015-03,3,created
2015-01,0,acknowledged_and_closed
2015-01,0,acknowledged
2015-01,7,created
2014-12,0,acknowledged_and_closed
2014-12,0,acknowledged
2014-12,9,created
2014-10,0,acknowledged_and_closed
2014-10,0,acknowledged
2014-10,7,created
2014-11,1,acknowledged_and_closed
2014-11,2,acknowledged
2014-11,6,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,3,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,0,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,0,created
2011-12,2,acknowledged_and_closed
2011-12,2,acknowledged
2011-12,8,created
2012-09,2,acknowledged_and_closed
2012-09,4,acknowledged
2012-09,13,created
