Month,Unresolved
2014-09,347
2014-08,324
2014-05,275
2014-04,410
2014-07,305
2014-06,292
2014-01,203
2014-03,392
2014-02,207
2010-01,0
2010-03,0
2010-02,0
2013-08,165
2013-09,195
2010-07,0
2010-06,0
2013-04,108
2010-08,0
2013-06,138
2013-07,161
2013-01,83
2013-02,83
2013-03,95
2012-07,13
2010-10,0
2010-11,0
2015-06,463
2015-07,478
2015-04,451
2015-05,456
2015-02,424
2015-03,426
2015-01,404
2014-12,396
2014-10,365
2014-11,391
2011-11,2
2011-10,1
2015-08,497
2011-12,3
2012-09,23
2012-08,17
2012-03,4
2012-02,4
2012-01,3
2010-12,0
2012-06,8
2012-05,5
2012-04,4
2010-05,0
2010-04,0
2011-08,1
2011-09,1
2011-02,0
2011-03,0
2011-01,0
2011-06,0
2011-07,1
2011-04,0
2011-05,0
2010-09,0
2013-05,121
2012-10,35
2012-11,46
2012-12,58
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,197
2013-11,190
2013-10,173
2009-10,0
2009-11,0
2009-12,0
