Month Created,Count,category
2014-09,5,acknowledged_and_closed
2014-09,25,acknowledged
2014-09,32,created
2014-08,7,acknowledged_and_closed
2014-08,28,acknowledged
2014-08,51,created
2014-05,6,acknowledged_and_closed
2014-05,20,acknowledged
2014-05,57,created
2014-04,4,acknowledged_and_closed
2014-04,13,acknowledged
2014-04,45,created
2014-07,14,acknowledged_and_closed
2014-07,38,acknowledged
2014-07,84,created
2014-06,8,acknowledged_and_closed
2014-06,23,acknowledged
2014-06,61,created
2014-01,20,acknowledged_and_closed
2014-01,28,acknowledged
2014-01,45,created
2014-03,8,acknowledged_and_closed
2014-03,24,acknowledged
2014-03,49,created
2014-02,150,acknowledged_and_closed
2014-02,190,acknowledged
2014-02,308,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,1,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,24,acknowledged_and_closed
2013-08,42,acknowledged
2013-08,69,created
2013-09,12,acknowledged_and_closed
2013-09,30,acknowledged
2013-09,48,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,18,acknowledged_and_closed
2013-04,31,acknowledged
2013-04,43,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,24,acknowledged_and_closed
2013-06,43,acknowledged
2013-06,68,created
2013-07,19,acknowledged_and_closed
2013-07,30,acknowledged
2013-07,45,created
2013-01,29,acknowledged_and_closed
2013-01,34,acknowledged
2013-01,58,created
2013-02,11,acknowledged_and_closed
2013-02,17,acknowledged
2013-02,34,created
2013-03,14,acknowledged_and_closed
2013-03,26,acknowledged
2013-03,42,created
2012-07,0,acknowledged_and_closed
2012-07,4,acknowledged
2012-07,25,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,3,acknowledged_and_closed
2015-06,22,acknowledged
2015-06,48,created
2015-07,5,acknowledged_and_closed
2015-07,24,acknowledged
2015-07,46,created
2015-04,1,acknowledged_and_closed
2015-04,8,acknowledged
2015-04,26,created
2015-05,1,acknowledged_and_closed
2015-05,9,acknowledged
2015-05,32,created
2015-02,0,acknowledged_and_closed
2015-02,3,acknowledged
2015-02,7,created
2015-03,12,acknowledged_and_closed
2015-03,32,acknowledged
2015-03,44,created
2015-01,6,acknowledged_and_closed
2015-01,25,acknowledged
2015-01,36,created
2014-12,4,acknowledged_and_closed
2014-12,16,acknowledged
2014-12,20,created
2014-10,9,acknowledged_and_closed
2014-10,32,acknowledged
2014-10,49,created
2014-11,3,acknowledged_and_closed
2014-11,10,acknowledged
2014-11,24,created
2011-11,1,acknowledged_and_closed
2011-11,1,acknowledged
2011-11,5,created
2011-10,1,acknowledged_and_closed
2011-10,1,acknowledged
2011-10,3,created
2015-08,0,acknowledged_and_closed
2015-08,4,acknowledged
2015-08,7,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,6,created
2012-09,11,acknowledged_and_closed
2012-09,16,acknowledged
2012-09,31,created
2012-08,3,acknowledged_and_closed
2012-08,6,acknowledged
2012-08,26,created
2012-03,0,acknowledged_and_closed
2012-03,0,acknowledged
2012-03,5,created
2012-02,0,acknowledged_and_closed
2012-02,0,acknowledged
2012-02,6,created
2012-01,1,acknowledged_and_closed
2012-01,1,acknowledged
2012-01,10,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,0,created
2012-06,4,acknowledged_and_closed
2012-06,5,acknowledged
2012-06,21,created
2012-05,2,acknowledged_and_closed
2012-05,3,acknowledged
2012-05,14,created
2012-04,1,acknowledged_and_closed
2012-04,1,acknowledged
2012-04,6,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,0,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,0,acknowledged_and_closed
2011-08,0,acknowledged
2011-08,1,created
2011-09,0,acknowledged_and_closed
2011-09,0,acknowledged
2011-09,4,created
2011-02,0,acknowledged_and_closed
2011-02,0,acknowledged
2011-02,0,created
2011-03,0,acknowledged_and_closed
2011-03,0,acknowledged
2011-03,2,created
2011-01,0,acknowledged_and_closed
2011-01,0,acknowledged
2011-01,1,created
2011-06,0,acknowledged_and_closed
2011-06,1,acknowledged
2011-06,1,created
2011-07,0,acknowledged_and_closed
2011-07,0,acknowledged
2011-07,2,created
2011-04,0,acknowledged_and_closed
2011-04,0,acknowledged
2011-04,0,created
2011-05,0,acknowledged_and_closed
2011-05,0,acknowledged
2011-05,0,created
2010-09,0,acknowledged_and_closed
2010-09,0,acknowledged
2010-09,0,created
2013-05,21,acknowledged_and_closed
2013-05,32,acknowledged
2013-05,55,created
2012-10,8,acknowledged_and_closed
2012-10,13,acknowledged
2012-10,52,created
2012-11,6,acknowledged_and_closed
2012-11,12,acknowledged
2012-11,32,created
2012-12,69,acknowledged_and_closed
2012-12,88,acknowledged
2012-12,114,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,1,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,1,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
2008-02,0,acknowledged_and_closed
2008-02,0,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
