Month,Unresolved
2014-09,487
2014-08,458
2014-05,376
2014-04,340
2014-07,419
2014-06,394
2014-01,293
2014-03,309
2014-02,306
2010-01,0
2010-03,0
2010-02,0
2013-08,230
2013-09,256
2010-07,0
2010-06,0
2013-04,155
2010-08,0
2013-06,213
2013-07,232
2013-01,132
2013-02,133
2013-03,139
2012-07,89
2010-10,0
2010-11,0
2015-06,668
2015-07,699
2015-04,609
2015-05,639
2015-02,578
2015-03,585
2015-01,558
2014-12,533
2014-10,494
2014-11,515
2011-11,59
2011-10,55
2015-08,731
2011-12,68
2012-09,105
2012-08,93
2012-03,79
2012-02,78
2012-01,74
2010-12,0
2012-06,87
2012-05,81
2012-04,79
2010-05,0
2010-04,0
2011-08,37
2011-09,51
2011-02,1
2011-03,3
2011-01,0
2011-06,26
2011-07,34
2011-04,12
2011-05,24
2010-09,0
2013-05,183
2012-10,108
2012-11,115
2012-12,125
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,287
2013-11,279
2013-10,275
2009-10,0
2009-11,0
2009-12,0
