Month Created,Count,category
2014-09,8,acknowledged_and_closed
2014-09,19,acknowledged
2014-09,21,created
2014-08,4,acknowledged_and_closed
2014-08,31,acknowledged
2014-08,35,created
2014-05,4,acknowledged_and_closed
2014-05,21,acknowledged
2014-05,30,created
2014-04,6,acknowledged_and_closed
2014-04,38,acknowledged
2014-04,53,created
2014-07,7,acknowledged_and_closed
2014-07,41,acknowledged
2014-07,64,created
2014-06,4,acknowledged_and_closed
2014-06,29,acknowledged
2014-06,44,created
2014-01,1,acknowledged_and_closed
2014-01,15,acknowledged
2014-01,17,created
2014-03,4,acknowledged_and_closed
2014-03,32,acknowledged
2014-03,36,created
2014-02,1,acknowledged_and_closed
2014-02,3,acknowledged
2014-02,31,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,1,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,24,acknowledged_and_closed
2013-08,47,acknowledged
2013-08,57,created
2013-09,16,acknowledged_and_closed
2013-09,31,acknowledged
2013-09,33,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,1,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,11,acknowledged_and_closed
2013-04,31,acknowledged
2013-04,41,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,9,acknowledged_and_closed
2013-06,27,acknowledged
2013-06,33,created
2013-07,8,acknowledged_and_closed
2013-07,19,acknowledged
2013-07,25,created
2013-01,9,acknowledged_and_closed
2013-01,15,acknowledged
2013-01,22,created
2013-02,1,acknowledged_and_closed
2013-02,6,acknowledged
2013-02,14,created
2013-03,3,acknowledged_and_closed
2013-03,19,acknowledged
2013-03,23,created
2012-07,1,acknowledged_and_closed
2012-07,4,acknowledged
2012-07,9,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,1,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,9,created
2015-06,2,acknowledged_and_closed
2015-06,36,acknowledged
2015-06,49,created
2015-07,1,acknowledged_and_closed
2015-07,33,acknowledged
2015-07,41,created
2015-04,12,acknowledged_and_closed
2015-04,37,acknowledged
2015-04,52,created
2015-05,1,acknowledged_and_closed
2015-05,49,acknowledged
2015-05,61,created
2015-02,1,acknowledged_and_closed
2015-02,7,acknowledged
2015-02,14,created
2015-03,4,acknowledged_and_closed
2015-03,25,acknowledged
2015-03,26,created
2015-01,1,acknowledged_and_closed
2015-01,23,acknowledged
2015-01,34,created
2014-12,3,acknowledged_and_closed
2014-12,28,acknowledged
2014-12,29,created
2014-10,2,acknowledged_and_closed
2014-10,24,acknowledged
2014-10,35,created
2014-11,1,acknowledged_and_closed
2014-11,19,acknowledged
2014-11,22,created
2011-11,0,acknowledged_and_closed
2011-11,9,acknowledged
2011-11,12,created
2011-10,0,acknowledged_and_closed
2011-10,6,acknowledged
2011-10,12,created
2015-08,0,acknowledged_and_closed
2015-08,2,acknowledged
2015-08,5,created
2011-12,0,acknowledged_and_closed
2011-12,6,acknowledged
2011-12,6,created
2012-09,6,acknowledged_and_closed
2012-09,10,acknowledged
2012-09,13,created
2012-08,5,acknowledged_and_closed
2012-08,13,acknowledged
2012-08,14,created
2012-03,1,acknowledged_and_closed
2012-03,1,acknowledged
2012-03,6,created
2012-02,1,acknowledged_and_closed
2012-02,2,acknowledged
2012-02,10,created
2012-01,0,acknowledged_and_closed
2012-01,4,acknowledged
2012-01,8,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,7,created
2012-06,1,acknowledged_and_closed
2012-06,2,acknowledged
2012-06,7,created
2012-05,3,acknowledged_and_closed
2012-05,6,acknowledged
2012-05,11,created
2012-04,1,acknowledged_and_closed
2012-04,2,acknowledged
2012-04,3,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,1,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,7,acknowledged_and_closed
2011-08,14,acknowledged
2011-08,20,created
2011-09,3,acknowledged_and_closed
2011-09,4,acknowledged
2011-09,13,created
2011-02,1,acknowledged_and_closed
2011-02,2,acknowledged
2011-02,14,created
2011-03,6,acknowledged_and_closed
2011-03,10,acknowledged
2011-03,12,created
2011-01,1,acknowledged_and_closed
2011-01,1,acknowledged
2011-01,42,created
2011-06,0,acknowledged_and_closed
2011-06,8,acknowledged
2011-06,15,created
2011-07,2,acknowledged_and_closed
2011-07,3,acknowledged
2011-07,13,created
2011-04,2,acknowledged_and_closed
2011-04,14,acknowledged
2011-04,16,created
2011-05,0,acknowledged_and_closed
2011-05,2,acknowledged
2011-05,5,created
2010-09,0,acknowledged_and_closed
2010-09,0,acknowledged
2010-09,0,created
2013-05,6,acknowledged_and_closed
2013-05,38,acknowledged
2013-05,54,created
2012-10,1,acknowledged_and_closed
2012-10,8,acknowledged
2012-10,10,created
2012-11,5,acknowledged_and_closed
2012-11,12,acknowledged
2012-11,20,created
2012-12,5,acknowledged_and_closed
2012-12,15,acknowledged
2012-12,18,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,0,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
