Month,Unresolved
2014-09,232
2014-08,158
2014-05,148
2014-04,125
2014-07,134
2014-06,157
2014-01,91
2014-03,109
2014-02,96
2010-01,2
2010-03,2
2010-02,2
2013-08,98
2013-09,110
2010-07,2
2010-06,2
2013-04,92
2010-08,2
2013-06,110
2013-07,122
2013-01,73
2013-02,79
2013-03,83
2012-07,109
2010-10,3
2010-11,11
2015-06,214
2015-07,229
2015-04,169
2015-05,184
2015-02,137
2015-03,160
2015-01,137
2014-12,132
2014-10,274
2014-11,158
2011-11,63
2011-10,56
2015-08,249
2011-12,63
2012-09,126
2012-08,114
2012-03,79
2012-02,75
2012-01,68
2010-12,16
2012-06,104
2012-05,93
2012-04,86
2010-05,2
2010-04,2
2011-08,42
2011-09,49
2011-02,20
2011-03,23
2011-01,18
2011-06,36
2011-07,39
2011-04,27
2011-05,31
2010-09,2
2013-05,103
2012-10,140
2012-11,155
2012-12,70
2007-08,0
2007-07,0
2007-10,0
2008-12,2
2008-11,1
2008-10,1
2008-08,1
2008-09,1
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,1
2008-07,1
2009-07,2
2009-06,2
2009-05,2
2009-04,2
2009-03,2
2009-02,2
2009-01,2
2009-09,2
2009-08,2
2013-12,115
2013-11,113
2013-10,109
2009-10,2
2009-11,2
2009-12,2
