Month Created,Count,category
2014-09,37,acknowledged_and_closed
2014-09,42,acknowledged
2014-09,55,created
2014-08,124,acknowledged_and_closed
2014-08,127,acknowledged
2014-08,140,created
2014-05,96,acknowledged_and_closed
2014-05,98,acknowledged
2014-05,103,created
2014-04,108,acknowledged_and_closed
2014-04,116,acknowledged
2014-04,122,created
2014-07,96,acknowledged_and_closed
2014-07,98,acknowledged
2014-07,126,created
2014-06,109,acknowledged_and_closed
2014-06,109,acknowledged
2014-06,132,created
2014-01,11,acknowledged_and_closed
2014-01,12,acknowledged
2014-01,13,created
2014-03,87,acknowledged_and_closed
2014-03,93,acknowledged
2014-03,112,created
2014-02,23,acknowledged_and_closed
2014-02,25,acknowledged
2014-02,30,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,1,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,8,acknowledged_and_closed
2013-08,15,acknowledged
2013-08,16,created
2013-09,5,acknowledged_and_closed
2013-09,11,acknowledged
2013-09,18,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,2,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,1,created
2013-04,4,acknowledged_and_closed
2013-04,12,acknowledged
2013-04,15,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,8,acknowledged_and_closed
2013-06,12,acknowledged
2013-06,13,created
2013-07,12,acknowledged_and_closed
2013-07,19,acknowledged
2013-07,22,created
2013-01,6,acknowledged_and_closed
2013-01,8,acknowledged
2013-01,8,created
2013-02,3,acknowledged_and_closed
2013-02,4,acknowledged
2013-02,6,created
2013-03,7,acknowledged_and_closed
2013-03,9,acknowledged
2013-03,9,created
2012-07,4,acknowledged_and_closed
2012-07,6,acknowledged
2012-07,11,created
2010-10,4,acknowledged_and_closed
2010-10,8,acknowledged
2010-10,12,created
2010-11,5,acknowledged_and_closed
2010-11,7,acknowledged
2010-11,15,created
2015-06,163,acknowledged_and_closed
2015-06,200,acknowledged
2015-06,222,created
2015-07,6,acknowledged_and_closed
2015-07,29,acknowledged
2015-07,253,created
2015-04,119,acknowledged_and_closed
2015-04,133,acknowledged
2015-04,165,created
2015-05,139,acknowledged_and_closed
2015-05,172,acknowledged
2015-05,254,created
2015-02,119,acknowledged_and_closed
2015-02,121,acknowledged
2015-02,128,created
2015-03,117,acknowledged_and_closed
2015-03,126,acknowledged
2015-03,149,created
2015-01,17,acknowledged_and_closed
2015-01,22,acknowledged
2015-01,28,created
2014-12,40,acknowledged_and_closed
2014-12,45,acknowledged
2014-12,53,created
2014-10,51,acknowledged_and_closed
2014-10,56,acknowledged
2014-10,66,created
2014-11,42,acknowledged_and_closed
2014-11,44,acknowledged
