Month,Unresolved
2014-09,166
2014-08,162
2014-05,158
2014-04,156
2014-07,159
2014-06,158
2014-01,148
2014-03,152
2014-02,152
2010-01,0
2010-03,0
2010-02,0
2013-08,34
2013-09,45
2010-07,0
2010-06,0
2013-04,44
2010-08,0
2013-06,23
2013-07,29
2013-01,23
2013-02,25
2013-03,34
2012-07,9
2010-10,0
2010-11,0
2015-06,180
2015-07,181
2015-04,179
2015-05,180
2015-02,179
2015-03,179
2015-01,179
2014-12,177
2014-10,167
2014-11,172
2011-11,1
2011-10,1
2015-08,184
2011-12,1
2012-09,12
2012-08,15
2012-03,6
2012-02,1
2012-01,1
2010-12,0
2012-06,9
2012-05,7
2012-04,7
2010-05,0
2010-04,0
2011-08,1
2011-09,1
2011-02,0
2011-03,0
2011-01,0
2011-06,1
2011-07,1
2011-04,1
2011-05,1
2010-09,0
2013-05,19
2012-10,14
2012-11,7
2012-12,17
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,126
2013-11,100
2013-10,57
2009-10,0
2009-11,0
2009-12,0
