Month Created,Count,category
2014-09,1,acknowledged_and_closed
2014-09,1,acknowledged
2014-09,83,created
2014-08,0,acknowledged_and_closed
2014-08,5,acknowledged
2014-08,47,created
2014-05,0,acknowledged_and_closed
2014-05,0,acknowledged
2014-05,10,created
2014-04,0,acknowledged_and_closed
2014-04,2,acknowledged
2014-04,21,created
2014-07,1,acknowledged_and_closed
2014-07,4,acknowledged
2014-07,18,created
2014-06,0,acknowledged_and_closed
2014-06,1,acknowledged
2014-06,17,created
2014-01,0,acknowledged_and_closed
2014-01,4,acknowledged
2014-01,25,created
2014-03,0,acknowledged_and_closed
2014-03,5,acknowledged
2014-03,31,created
2014-02,0,acknowledged_and_closed
2014-02,0,acknowledged
2014-02,20,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,12,acknowledged_and_closed
2013-08,29,acknowledged
2013-08,32,created
2013-09,4,acknowledged_and_closed
2013-09,13,acknowledged
2013-09,18,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,6,acknowledged_and_closed
2013-04,6,acknowledged
2013-04,9,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,2,acknowledged_and_closed
2013-06,7,acknowledged
2013-06,23,created
2013-07,1,acknowledged_and_closed
2013-07,5,acknowledged
2013-07,14,created
2013-01,1,acknowledged_and_closed
2013-01,2,acknowledged
2013-01,23,created
2013-02,9,acknowledged_and_closed
2013-02,9,acknowledged
2013-02,16,created
2013-03,10,acknowledged_and_closed
2013-03,10,acknowledged
2013-03,13,created
2012-07,7,acknowledged_and_closed
2012-07,7,acknowledged
2012-07,9,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,6,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,19,created
2015-06,0,acknowledged_and_closed
2015-06,1,acknowledged
2015-06,142,created
2015-07,0,acknowledged_and_closed
2015-07,3,acknowledged
2015-07,24,created
2015-04,0,acknowledged_and_closed
2015-04,1,acknowledged
2015-04,23,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,26,created
2015-02,0,acknowledged_and_closed
2015-02,1,acknowledged
2015-02,12,created
2015-03,0,acknowledged_and_closed
2015-03,1,acknowledged
2015-03,20,created
2015-01,0,acknowledged_and_closed
2015-01,1,acknowledged
2015-01,29,created
2014-12,0,acknowledged_and_closed
2014-12,2,acknowledged
2014-12,32,created
2014-10,1,acknowledged_and_closed
2014-10,6,acknowledged
2014-10,79,created
2014-11,0,acknowledged_and_closed
2014-11,5,acknowledged
2014-11,63,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,16,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,27,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,2,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,21,created
2012-09,9,acknowledged_and_closed
2012-09,9,acknowledged
2012-09,17,created
2012-08,10,acknowledged_and_closed
2012-08,10,acknowledged
2012-08,28,created
2012-03,1,acknowledged_and_closed
2012-03,1,acknowledged
2012-03,13,created
2012-02,5,acknowledged_and_closed
2012-02,5,acknowledged
2012-02,14,created
2012-01,0,acknowledged_and_closed
2012-01,0,acknowledged
2012-01,13,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,31,created
2012-06,0,acknowledged_and_closed
2012-06,0,acknowledged
2012-06,9,created
2012-05,2,acknowledged_and_closed
2012-05,2,acknowledged
2012-05,10,created
2012-04,0,acknowledged_and_closed
2012-04,0,acknowledged
2012-04,6,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,0,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,0,acknowledged_and_closed
2011-08,0,acknowledged
2011-08,9,created
2011-09,0,acknowledged_and_closed
2011-09,0,acknowledged
2011-09,10,created
2011-02,0,acknowledged_and_closed
2011-02,0,acknowledged
2011-02,9,created
2011-03,1,acknowledged_and_closed
2011-03,1,acknowledged
2011-03,11,created
2011-01,0,acknowledged_and_closed
2011-01,0,acknowledged
2011-01,5,created
2011-06,0,acknowledged_and_closed
2011-06,0,acknowledged
2011-06,8,created
2011-07,0,acknowledged_and_closed
2011-07,0,acknowledged
2011-07,7,created
2011-04,0,acknowledged_and_closed
2011-04,0,acknowledged
2011-04,9,created
2011-05,0,acknowledged_and_closed
2011-05,0,acknowledged
2011-05,14,created
2010-09,0,acknowledged_and_closed
2010-09,0,acknowledged
2010-09,0,created
2013-05,0,acknowledged_and_closed
2013-05,4,acknowledged
2013-05,19,created
2012-10,0,acknowledged_and_closed
2012-10,1,acknowledged
2012-10,27,created
2012-11,7,acknowledged_and_closed
2012-11,10,acknowledged
2012-11,39,created
2012-12,5,acknowledged_and_closed
2012-12,6,acknowledged
2012-12,11,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,0,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
2008-02,0,acknowledged_and_closed
2008-02,0,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
2008-05,0,acknowledged
2008-05,0,created
2008-06,0,acknowledged_and_closed
2008-06,0,acknowledged
2008-06,0,created
2008-07,0,acknowledged_and_closed
2008-07,0,acknowledged
2008-07,0,created
2009-07,0,acknowledged_and_closed
2009-07,0,acknowledged
2009-07,0,created
2009-06,0,acknowledged_and_closed
2009-06,0,acknowledged
2009-06,0,created
2009-05,0,acknowledged_and_closed
2009-05,0,acknowledged
2009-05,0,created
2009-04,0,acknowledged_and_closed
2009-04,0,acknowledged
2009-04,0,created
2009-03,0,acknowledged_and_closed
2009-03,0,acknowledged
2009-03,0,created
2009-02,0,acknowledged_and_closed
2009-02,0,acknowledged
2009-02,0,created
2009-01,0,acknowledged_and_closed
2009-01,0,acknowledged
2009-01,0,created
2009-09,0,acknowledged_and_closed
2009-09,0,acknowledged
2009-09,0,created
2009-08,0,acknowledged_and_closed
2009-08,0,acknowledged
2009-08,0,created
2013-12,2,acknowledged_and_closed
2013-12,23,acknowledged
2013-12,37,created
2013-11,2,acknowledged_and_closed
2013-11,28,acknowledged
2013-11,36,created
2013-10,2,acknowledged_and_closed
2013-10,54,acknowledged
2013-10,64,created
2009-10,0,acknowledged_and_closed
2009-10,0,acknowledged
2009-10,1,created
2009-11,0,acknowledged_and_closed
2009-11,0,acknowledged
2009-11,0,created
2009-12,0,acknowledged_and_closed
2009-12,0,acknowledged
2009-12,0,created
