Month,Unresolved
2014-09,189
2014-08,182
2014-05,184
2014-04,175
2014-07,181
2014-06,181
2014-01,184
2014-03,179
2014-02,193
2010-01,1
2010-03,1
2010-02,1
2013-08,143
2013-09,161
2010-07,1
2010-06,1
2013-04,158
2010-08,1
2013-06,171
2013-07,185
2013-01,131
2013-02,139
2013-03,147
2012-07,114
2010-10,2
2010-11,4
2015-06,199
2015-07,192
2015-04,199
2015-05,196
2015-02,192
2015-03,194
2015-01,199
2014-12,206
2014-10,196
2014-11,203
2011-11,56
2011-10,51
2015-08,195
2011-12,60
2012-09,134
2012-08,125
2012-03,80
2012-02,74
2012-01,67
2010-12,9
2012-06,107
2012-05,99
2012-04,87
2010-05,1
2010-04,1
2011-08,41
2011-09,47
2011-02,22
2011-03,27
2011-01,19
2011-06,33
2011-07,37
2011-04,27
2011-05,31
2010-09,1
2013-05,168
2012-10,144
2012-11,153
2012-12,129
2007-08,0
2007-07,0
2007-10,0
2008-12,1
2008-11,1
2008-10,1
2008-08,0
2008-09,1
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,1
2009-06,1
2009-05,1
2009-04,1
2009-03,1
2009-02,1
2009-01,1
2009-09,1
2009-08,1
2013-12,192
2013-11,179
2013-10,167
2009-10,1
2009-11,1
2009-12,1
