Month Created,Count,category
2014-09,6,acknowledged_and_closed
2014-09,7,acknowledged
2014-09,17,created
2014-08,7,acknowledged_and_closed
2014-08,7,acknowledged
2014-08,15,created
2014-05,0,acknowledged_and_closed
2014-05,1,acknowledged
2014-05,18,created
2014-04,9,acknowledged_and_closed
2014-04,14,acknowledged
2014-04,14,created
2014-07,1,acknowledged_and_closed
2014-07,1,acknowledged
2014-07,16,created
2014-06,0,acknowledged_and_closed
2014-06,0,acknowledged
2014-06,13,created
2014-01,9,acknowledged_and_closed
2014-01,9,acknowledged
2014-01,11,created
2014-03,3,acknowledged_and_closed
2014-03,10,acknowledged
2014-03,13,created
2014-02,14,acknowledged_and_closed
2014-02,14,acknowledged
2014-02,18,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,5,acknowledged_and_closed
2013-08,18,acknowledged
2013-08,21,created
2013-09,5,acknowledged_and_closed
2013-09,16,acknowledged
2013-09,17,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,5,acknowledged_and_closed
2013-04,11,acknowledged
2013-04,16,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,1,created
2013-06,5,acknowledged_and_closed
2013-06,14,acknowledged
2013-06,19,created
2013-07,1,acknowledged_and_closed
2013-07,8,acknowledged
2013-07,10,created
2013-01,2,acknowledged_and_closed
2013-01,11,acknowledged
2013-01,15,created
2013-02,1,acknowledged_and_closed
2013-02,8,acknowledged
2013-02,9,created
2013-03,4,acknowledged_and_closed
2013-03,11,acknowledged
2013-03,15,created
2012-07,10,acknowledged_and_closed
2012-07,12,acknowledged
2012-07,13,created
2010-10,2,acknowledged_and_closed
2010-10,2,acknowledged
2010-10,3,created
2010-11,3,acknowledged_and_closed
2010-11,5,acknowledged
2010-11,8,created
2015-06,8,acknowledged_and_closed
2015-06,8,acknowledged
2015-06,10,created
2015-07,12,acknowledged_and_closed
2015-07,16,acknowledged
2015-07,20,created
2015-04,13,acknowledged_and_closed
2015-04,13,acknowledged
2015-04,13,created
2015-05,11,acknowledged_and_closed
2015-05,12,acknowledged
2015-05,13,created
2015-02,15,acknowledged_and_closed
2015-02,18,acknowledged
2015-02,21,created
2015-03,28,acknowledged_and_closed
2015-03,28,acknowledged
2015-03,36,created
2015-01,14,acknowledged_and_closed
2015-01,15,acknowledged
2015-01,19,created
2014-12,10,acknowledged_and_closed
2014-12,13,acknowledged
2014-12,17,created
2014-10,7,acknowledged_and_closed
2014-10,7,acknowledged
2014-10,17,created
2014-11,3,acknowledged_and_closed
2014-11,4,acknowledged
2014-11,10,created
2011-11,2,acknowledged_and_closed
2011-11,5,acknowledged
2011-11,9,created
2011-10,2,acknowledged_and_closed
2011-10,5,acknowledged
2011-10,7,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,0,created
2011-12,6,acknowledged_and_closed
2011-12,9,acknowledged
2011-12,10,created
2012-09,10,acknowledged_and_closed
2012-09,14,acknowledged
2012-09,21,created
2012-08,7,acknowledged_and_closed
2012-08,11,acknowledged
2012-08,14,created
2012-03,1,acknowledged_and_closed
2012-03,7,acknowledged
2012-03,11,created
2012-02,4,acknowledged_and_closed
2012-02,6,acknowledged
2012-02,8,created
