Month,Unresolved
2014-09,148
2014-08,150
2014-05,134
2014-04,140
2014-07,138
2014-06,132
2014-01,115
2014-03,140
2014-02,124
2010-01,0
2010-03,0
2010-02,0
2013-08,74
2013-09,93
2010-07,0
2010-06,0
2013-04,42
2010-08,0
2013-06,54
2013-07,70
2013-01,25
2013-02,29
2013-03,36
2012-07,13
2010-10,0
2010-11,0
2015-06,155
2015-07,155
2015-04,155
2015-05,155
2015-02,153
2015-03,154
2015-01,152
2014-12,152
2014-10,151
2014-11,152
2011-11,6
2011-10,5
2015-08,155
2011-12,6
2012-09,17
2012-08,16
2012-03,7
2012-02,6
2012-01,6
2010-12,0
2012-06,10
2012-05,9
2012-04,7
2010-05,0
2010-04,0
2011-08,4
2011-09,4
2011-02,2
2011-03,3
2011-01,2
2011-06,4
2011-07,4
2011-04,3
2011-05,4
2010-09,0
2013-05,46
2012-10,18
2012-11,19
2012-12,22
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,113
2013-11,107
2013-10,105
2009-10,0
2009-11,0
2009-12,0
