Month Created,Count,category
2014-09,0,acknowledged_and_closed
2014-09,3,acknowledged
2014-09,25,created
2014-08,0,acknowledged_and_closed
2014-08,1,acknowledged
2014-08,14,created
2014-05,1,acknowledged_and_closed
2014-05,1,acknowledged
2014-05,15,created
2014-04,1,acknowledged_and_closed
2014-04,2,acknowledged
2014-04,21,created
2014-07,1,acknowledged_and_closed
2014-07,12,acknowledged
2014-07,23,created
2014-06,8,acknowledged_and_closed
2014-06,13,acknowledged
2014-06,29,created
2014-01,0,acknowledged_and_closed
2014-01,9,acknowledged
2014-01,22,created
2014-03,0,acknowledged_and_closed
2014-03,0,acknowledged
2014-03,18,created
2014-02,11,acknowledged_and_closed
2014-02,17,acknowledged
2014-02,66,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,2,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,1,acknowledged_and_closed
2013-08,20,acknowledged
2013-08,31,created
2013-09,5,acknowledged_and_closed
2013-09,14,acknowledged
2013-09,35,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,6,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,1,created
2013-04,4,acknowledged_and_closed
2013-04,7,acknowledged
2013-04,12,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,1,acknowledged_and_closed
2013-06,17,acknowledged
2013-06,33,created
2013-07,5,acknowledged_and_closed
2013-07,12,acknowledged
2013-07,18,created
2013-01,1,acknowledged_and_closed
2013-01,5,acknowledged
2013-01,21,created
2013-02,1,acknowledged_and_closed
2013-02,7,acknowledged
2013-02,36,created
2013-03,2,acknowledged_and_closed
2013-03,6,acknowledged
2013-03,15,created
2012-07,1,acknowledged_and_closed
2012-07,3,acknowledged
2012-07,5,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,2,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,0,acknowledged_and_closed
2015-06,0,acknowledged
2015-06,29,created
2015-07,0,acknowledged_and_closed
2015-07,0,acknowledged
2015-07,22,created
2015-04,0,acknowledged_and_closed
2015-04,0,acknowledged
2015-04,29,created
2015-05,0,acknowledged_and_closed
2015-05,0,acknowledged
2015-05,26,created
2015-02,0,acknowledged_and_closed
2015-02,1,acknowledged
2015-02,22,created
2015-03,1,acknowledged_and_closed
2015-03,2,acknowledged
2015-03,32,created
2015-01,0,acknowledged_and_closed
2015-01,2,acknowledged
2015-01,15,created
2014-12,0,acknowledged_and_closed
2014-12,0,acknowledged
2014-12,8,created
2014-10,0,acknowledged_and_closed
2014-10,1,acknowledged
2014-10,29,created
2014-11,1,acknowledged_and_closed
2014-11,1,acknowledged
2014-11,22,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,1,created
2011-10,0,acknowledged_and_closed
2011-10,1,acknowledged
2011-10,2,created
2015-08,0,acknowledged_and_closed
2015-08,0,acknowledged
2015-08,2,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,0,created
2012-09,0,acknowledged_and_closed
2012-09,1,acknowledged
2012-09,5,created
2012-08,0,acknowledged_and_closed
2012-08,1,acknowledged
2012-08,6,created
2012-03,0,acknowledged_and_closed
2012-03,0,acknowledged
2012-03,2,created
2012-02,1,acknowledged_and_closed
2012-02,1,acknowledged
2012-02,8,created
2012-01,0,acknowledged_and_closed
2012-01,0,acknowledged
2012-01,2,created
2010-12,0,acknowledged_and_closed
2010-12,2,acknowledged
2010-12,2,created
2012-06,0,acknowledged_and_closed
2012-06,3,acknowledged
2012-06,5,created
2012-05,0,acknowledged_and_closed
2012-05,1,acknowledged
2012-05,10,created
2012-04,2,acknowledged_and_closed
2012-04,2,acknowledged
2012-04,10,created
2010-05,0,acknowledged_and_closed
2010-05,0,acknowledged
2010-05,0,created
2010-04,0,acknowledged_and_closed
2010-04,0,acknowledged
2010-04,0,created
2011-08,0,acknowledged_and_closed
2011-08,0,acknowledged
2011-08,6,created
2011-09,1,acknowledged_and_closed
2011-09,1,acknowledged
2011-09,9,created
2011-02,0,acknowledged_and_closed
2011-02,1,acknowledged
2011-02,2,created
2011-03,0,acknowledged_and_closed
2011-03,0,acknowledged
2011-03,0,created
2011-01,0,acknowledged_and_closed
2011-01,0,acknowledged
2011-01,0,created
2011-06,0,acknowledged_and_closed
2011-06,0,acknowledged
2011-06,2,created
2011-07,0,acknowledged_and_closed
2011-07,0,acknowledged
2011-07,0,created
2011-04,1,acknowledged_and_closed
2011-04,1,acknowledged
2011-04,1,created
2011-05,0,acknowledged_and_closed
2011-05,0,acknowledged
2011-05,2,created
2010-09,0,acknowledged_and_closed
2010-09,0,acknowledged
2010-09,3,created
2013-05,0,acknowledged_and_closed
2013-05,10,acknowledged
2013-05,31,created
2012-10,0,acknowledged_and_closed
2012-10,1,acknowledged
2012-10,8,created
2012-11,4,acknowledged_and_closed
2012-11,4,acknowledged
2012-11,11,created
2012-12,0,acknowledged_and_closed
2012-12,3,acknowledged
2012-12,11,created
2007-08,0,acknowledged_and_closed
2007-08,0,acknowledged
2007-08,0,created
2007-07,0,acknowledged_and_closed
2007-07,0,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,0,acknowledged
2007-10,0,created
2008-12,0,acknowledged_and_closed
2008-12,0,acknowledged
2008-12,0,created
2008-11,0,acknowledged_and_closed
2008-11,0,acknowledged
2008-11,0,created
2008-10,0,acknowledged_and_closed
2008-10,0,acknowledged
2008-10,0,created
2008-08,0,acknowledged_and_closed
2008-08,0,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,1,created
2008-02,0,acknowledged_and_closed
2008-02,0,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
2008-05,0,acknowledged
2008-05,0,created
2008-06,0,acknowledged_and_closed
2008-06,0,acknowledged
2008-06,0,created
2008-07,0,acknowledged_and_closed
2008-07,0,acknowledged
2008-07,1,created
2009-07,0,acknowledged_and_closed
2009-07,0,acknowledged
2009-07,0,created
