Month,Unresolved
2014-09,186
2014-08,161
2014-05,138
2014-04,124
2014-07,152
2014-06,144
2014-01,104
2014-03,119
2014-02,80
2010-01,0
2010-03,0
2010-02,0
2013-08,81
2013-09,64
2010-07,0
2010-06,0
2013-04,56
2010-08,0
2013-06,53
2013-07,63
2013-01,40
2013-02,46
2013-03,36
2012-07,3
2010-10,0
2010-11,0
2015-06,293
2015-07,299
2015-04,273
2015-05,287
2015-02,250
2015-03,261
2015-01,251
2014-12,237
2014-10,209
2014-11,220
2011-11,0
2011-10,0
2015-08,314
2011-12,0
2012-09,13
2012-08,7
2012-03,2
2012-02,2
2012-01,0
2010-12,0
2012-06,2
2012-05,2
2012-04,2
2010-05,0
2010-04,0
2011-08,0
2011-09,0
2011-02,0
2011-03,0
2011-01,0
2011-06,0
2011-07,0
2011-04,0
2011-05,0
2010-09,0
2013-05,48
2012-10,20
2012-11,22
2012-12,27
2007-08,0
2007-07,0
2007-10,0
2008-12,0
2008-11,0
2008-10,0
2008-08,0
2008-09,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2009-07,0
2009-06,0
2009-05,0
2009-04,0
2009-03,0
2009-02,0
2009-01,0
2009-09,0
2009-08,0
2013-12,76
2013-11,78
2013-10,65
2009-10,0
2009-11,0
2009-12,0
