Month Created,Count,category
2014-09,15,acknowledged_and_closed
2014-09,36,acknowledged
2014-09,38,created
2014-08,28,acknowledged_and_closed
2014-08,55,acknowledged
2014-08,63,created
2014-05,18,acknowledged_and_closed
2014-05,32,acknowledged
2014-05,57,created
2014-04,24,acknowledged_and_closed
2014-04,43,acknowledged
2014-04,74,created
2014-07,35,acknowledged_and_closed
2014-07,48,acknowledged
2014-07,74,created
2014-06,24,acknowledged_and_closed
2014-06,32,acknowledged
2014-06,44,created
2014-01,52,acknowledged_and_closed
2014-01,63,acknowledged
2014-01,80,created
2014-03,24,acknowledged_and_closed
2014-03,30,acknowledged
2014-03,48,created
2014-02,68,acknowledged_and_closed
2014-02,90,acknowledged
2014-02,105,created
2010-01,0,acknowledged_and_closed
2010-01,0,acknowledged
2010-01,0,created
2010-03,0,acknowledged_and_closed
2010-03,0,acknowledged
2010-03,0,created
2010-02,0,acknowledged_and_closed
2010-02,0,acknowledged
2010-02,0,created
2013-08,23,acknowledged_and_closed
2013-08,30,acknowledged
2013-08,42,created
2013-09,18,acknowledged_and_closed
2013-09,30,acknowledged
2013-09,40,created
2010-07,0,acknowledged_and_closed
2010-07,0,acknowledged
2010-07,0,created
2010-06,0,acknowledged_and_closed
2010-06,0,acknowledged
2010-06,0,created
2013-04,30,acknowledged_and_closed
2013-04,31,acknowledged
2013-04,38,created
2010-08,0,acknowledged_and_closed
2010-08,0,acknowledged
2010-08,0,created
2013-06,21,acknowledged_and_closed
2013-06,29,acknowledged
2013-06,41,created
2013-07,32,acknowledged_and_closed
2013-07,38,acknowledged
2013-07,48,created
2013-01,22,acknowledged_and_closed
2013-01,22,acknowledged
2013-01,34,created
2013-02,12,acknowledged_and_closed
2013-02,13,acknowledged
2013-02,24,created
2013-03,23,acknowledged_and_closed
2013-03,23,acknowledged
2013-03,29,created
2012-07,3,acknowledged_and_closed
2012-07,4,acknowledged
2012-07,11,created
2010-10,0,acknowledged_and_closed
2010-10,0,acknowledged
2010-10,0,created
2010-11,0,acknowledged_and_closed
2010-11,0,acknowledged
2010-11,0,created
2015-06,6,acknowledged_and_closed
2015-06,15,acknowledged
2015-06,30,created
2015-07,13,acknowledged_and_closed
2015-07,29,acknowledged
2015-07,36,created
2015-04,8,acknowledged_and_closed
2015-04,21,acknowledged
2015-04,32,created
2015-05,5,acknowledged_and_closed
2015-05,7,acknowledged
2015-05,23,created
2015-02,10,acknowledged_and_closed
2015-02,18,acknowledged
2015-02,28,created
2015-03,45,acknowledged_and_closed
2015-03,62,acknowledged
2015-03,63,created
2015-01,8,acknowledged_and_closed
2015-01,20,acknowledged
2015-01,26,created
2014-12,26,acknowledged_and_closed
2014-12,31,acknowledged
2014-12,37,created
2014-10,17,acknowledged_and_closed
2014-10,31,acknowledged
2014-10,37,created
2014-11,7,acknowledged_and_closed
2014-11,22,acknowledged
2014-11,25,created
2011-11,0,acknowledged_and_closed
2011-11,0,acknowledged
2011-11,0,created
2011-10,0,acknowledged_and_closed
2011-10,0,acknowledged
2011-10,0,created
2015-08,0,acknowledged_and_closed
2015-08,1,acknowledged
2015-08,1,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,0,created
2012-09,7,acknowledged_and_closed
