Month,Unresolved
2014-09,1034
2014-08,996
2014-05,900
2014-04,864
2014-07,955
2014-06,936
2014-01,761
2014-03,803
2014-02,787
2010-01,40
2010-03,45
2010-02,44
2013-08,855
2013-09,959
2010-07,70
2010-06,60
2013-04,715
2010-08,77
2013-06,784
2013-07,876
2013-01,707
2013-02,676
2013-03,699
2012-07,314
2010-10,91
2010-11,93
2015-06,1425
2015-07,1458
2015-04,1363
2015-05,1390
2015-02,1296
2015-03,1304
2015-01,1277
2014-12,1263
2014-10,1126
2014-11,1251
2011-11,168
2011-10,118
2015-08,1520
2011-12,174
2012-09,535
2012-08,405
2012-03,180
2012-02,175
2012-01,174
2010-12,99
2012-06,230
2012-05,208
2012-04,192
2010-05,55
2010-04,52
2011-08,112
2011-09,114
2011-02,100
2011-03,100
2011-01,99
2011-06,106
2011-07,110
2011-04,100
2011-05,103
2010-09,86
2013-05,751
2012-10,661
2012-11,750
2012-12,760
2007-08,1
2007-07,0
2007-10,2
2008-12,9
2008-11,6
2008-10,4
2008-08,4
2008-09,4
2008-02,3
2008-03,4
2008-04,4
2008-05,4
2008-06,4
2008-07,4
2009-07,24
2009-06,20
2009-05,16
2009-04,15
2009-03,14
2009-02,12
2009-01,11
2009-09,31
2009-08,27
2013-12,888
2013-11,895
2013-10,975
2009-10,32
2009-11,33
2009-12,37
