Month Created,Count,category
2014-09,192,acknowledged_and_closed
2014-09,328,acknowledged
2014-09,401,created
2014-08,137,acknowledged_and_closed
2014-08,210,acknowledged
2014-08,299,created
2014-05,42,acknowledged_and_closed
2014-05,55,acknowledged
2014-05,104,created
2014-04,35,acknowledged_and_closed
2014-04,71,acknowledged
2014-04,140,created
2014-07,88,acknowledged_and_closed
2014-07,152,acknowledged
2014-07,292,created
2014-06,52,acknowledged_and_closed
2014-06,74,acknowledged
2014-06,165,created
2014-01,74,acknowledged_and_closed
2014-01,85,acknowledged
2014-01,190,created
2014-03,57,acknowledged_and_closed
2014-03,98,acknowledged
2014-03,171,created
2014-02,34,acknowledged_and_closed
2014-02,45,acknowledged
2014-02,68,created
2010-01,3,acknowledged_and_closed
2010-01,4,acknowledged
2010-01,4,created
2010-03,6,acknowledged_and_closed
2010-03,7,acknowledged
2010-03,14,created
2010-02,1,acknowledged_and_closed
2010-02,1,acknowledged
2010-02,1,created
2013-08,167,acknowledged_and_closed
2013-08,230,acknowledged
2013-08,415,created
2013-09,152,acknowledged_and_closed
2013-09,211,acknowledged
2013-09,381,created
2010-07,6,acknowledged_and_closed
2010-07,7,acknowledged
2010-07,10,created
2010-06,9,acknowledged_and_closed
2010-06,10,acknowledged
2010-06,25,created
2013-04,46,acknowledged_and_closed
2013-04,56,acknowledged
2013-04,135,created
2010-08,7,acknowledged_and_closed
2010-08,9,acknowledged
2010-08,18,created
2013-06,110,acknowledged_and_closed
2013-06,139,acknowledged
2013-06,242,created
2013-07,61,acknowledged_and_closed
2013-07,77,acknowledged
2013-07,210,created
2013-01,41,acknowledged_and_closed
2013-01,48,acknowledged
2013-01,219,created
2013-02,31,acknowledged_and_closed
2013-02,36,acknowledged
2013-02,110,created
2013-03,37,acknowledged_and_closed
2013-03,40,acknowledged
2013-03,105,created
2012-07,84,acknowledged_and_closed
2012-07,91,acknowledged
2012-07,293,created
2010-10,1,acknowledged_and_closed
2010-10,2,acknowledged
2010-10,12,created
2010-11,4,acknowledged_and_closed
2010-11,6,acknowledged
2010-11,7,created
2015-06,7,acknowledged_and_closed
2015-06,55,acknowledged
2015-06,141,created
2015-07,8,acknowledged_and_closed
2015-07,104,acknowledged
2015-07,182,created
2015-04,25,acknowledged_and_closed
2015-04,74,acknowledged
2015-04,103,created
2015-05,7,acknowledged_and_closed
2015-05,63,acknowledged
2015-05,115,created
2015-02,1,acknowledged_and_closed
2015-02,18,acknowledged
2015-02,37,created
2015-03,8,acknowledged_and_closed
2015-03,91,acknowledged
2015-03,142,created
2015-01,16,acknowledged_and_closed
2015-01,85,acknowledged
2015-01,116,created
2014-12,22,acknowledged_and_closed
2014-12,70,acknowledged
2014-12,102,created
2014-10,106,acknowledged_and_closed
2014-10,291,acknowledged
2014-10,470,created
2014-11,24,acknowledged_and_closed
2014-11,102,acknowledged
2014-11,152,created
2011-11,5,acknowledged_and_closed
2011-11,6,acknowledged
2011-11,7,created
2011-10,39,acknowledged_and_closed
2011-10,50,acknowledged
2011-10,145,created
2015-08,0,acknowledged_and_closed
2015-08,3,acknowledged
2015-08,17,created
2011-12,0,acknowledged_and_closed
2011-12,0,acknowledged
2011-12,0,created
2012-09,138,acknowledged_and_closed
2012-09,145,acknowledged
2012-09,442,created
2012-08,117,acknowledged_and_closed
2012-08,130,acknowledged
2012-08,431,created
2012-03,11,acknowledged_and_closed
2012-03,12,acknowledged
2012-03,18,created
2012-02,5,acknowledged_and_closed
2012-02,5,acknowledged
2012-02,5,created
2012-01,0,acknowledged_and_closed
2012-01,1,acknowledged
2012-01,2,created
2010-12,0,acknowledged_and_closed
2010-12,0,acknowledged
2010-12,1,created
2012-06,72,acknowledged_and_closed
2012-06,84,acknowledged
2012-06,184,created
2012-05,19,acknowledged_and_closed
2012-05,22,acknowledged
2012-05,39,created
2012-04,13,acknowledged_and_closed
2012-04,16,acknowledged
2012-04,23,created
2010-05,2,acknowledged_and_closed
2010-05,5,acknowledged
