Month Created,Count,category
2014-09,353,acknowledged_and_closed
2014-09,589,acknowledged
2014-09,0,created
2014-08,405,acknowledged_and_closed
2014-08,619,acknowledged
2014-08,0,created
2014-05,357,acknowledged_and_closed
2014-05,446,acknowledged
2014-05,0,created
2014-04,354,acknowledged_and_closed
2014-04,523,acknowledged
2014-04,0,created
2014-07,383,acknowledged_and_closed
2014-07,565,acknowledged
2014-07,0,created
2014-06,352,acknowledged_and_closed
2014-06,453,acknowledged
2014-06,0,created
2014-01,248,acknowledged_and_closed
2014-01,352,acknowledged
2014-01,0,created
2014-03,330,acknowledged_and_closed
2014-03,478,acknowledged
2014-03,0,created
2014-02,503,acknowledged_and_closed
2014-02,636,acknowledged
2014-02,0,created
2010-01,3,acknowledged_and_closed
2010-01,4,acknowledged
2010-01,0,created
2010-03,6,acknowledged_and_closed
2010-03,7,acknowledged
2010-03,0,created
2010-02,1,acknowledged_and_closed
2010-02,1,acknowledged
2010-02,0,created
2013-08,422,acknowledged_and_closed
2013-08,621,acknowledged
2013-08,0,created
2013-09,286,acknowledged_and_closed
2013-09,446,acknowledged
2013-09,0,created
2010-07,6,acknowledged_and_closed
2010-07,7,acknowledged
2010-07,0,created
2010-06,9,acknowledged_and_closed
2010-06,10,acknowledged
2010-06,0,created
2013-04,193,acknowledged_and_closed
2013-04,269,acknowledged
2013-04,0,created
2010-08,8,acknowledged_and_closed
2010-08,10,acknowledged
2010-08,0,created
2013-06,268,acknowledged_and_closed
2013-06,412,acknowledged
2013-06,0,created
2013-07,328,acknowledged_and_closed
2013-07,443,acknowledged
2013-07,0,created
2013-01,151,acknowledged_and_closed
2013-01,191,acknowledged
2013-01,0,created
2013-02,120,acknowledged_and_closed
2013-02,153,acknowledged
2013-02,0,created
2013-03,167,acknowledged_and_closed
2013-03,215,acknowledged
2013-03,0,created
2012-07,132,acknowledged_and_closed
2012-07,159,acknowledged
2012-07,0,created
2010-10,8,acknowledged_and_closed
2010-10,13,acknowledged
2010-10,0,created
2010-11,21,acknowledged_and_closed
2010-11,27,acknowledged
2010-11,0,created
2015-06,346,acknowledged_and_closed
2015-06,531,acknowledged
2015-06,0,created
2015-07,152,acknowledged_and_closed
2015-07,412,acknowledged
2015-07,0,created
2015-04,400,acknowledged_and_closed
2015-04,566,acknowledged
2015-04,0,created
2015-05,270,acknowledged_and_closed
2015-05,472,acknowledged
2015-05,0,created
2015-02,223,acknowledged_and_closed
2015-02,280,acknowledged
2015-02,0,created
2015-03,634,acknowledged_and_closed
2015-03,1010,acknowledged
2015-03,0,created
2015-01,112,acknowledged_and_closed
2015-01,278,acknowledged
2015-01,0,created
2014-12,193,acknowledged_and_closed
2014-12,339,acknowledged
2014-12,0,created
2014-10,297,acknowledged_and_closed
2014-10,591,acknowledged
2014-10,0,created
2014-11,133,acknowledged_and_closed
2014-11,299,acknowledged
2014-11,0,created
2011-11,33,acknowledged_and_closed
2011-11,50,acknowledged
2011-11,0,created
2011-10,60,acknowledged_and_closed
2011-10,83,acknowledged
2011-10,0,created
2015-08,16,acknowledged_and_closed
2015-08,41,acknowledged
2015-08,0,created
2011-12,45,acknowledged_and_closed
2011-12,60,acknowledged
2011-12,0,created
2012-09,218,acknowledged_and_closed
2012-09,247,acknowledged
2012-09,0,created
2012-08,195,acknowledged_and_closed
2012-08,230,acknowledged
2012-08,0,created
2012-03,35,acknowledged_and_closed
2012-03,49,acknowledged
2012-03,0,created
2012-02,33,acknowledged_and_closed
2012-02,39,acknowledged
2012-02,0,created
2012-01,28,acknowledged_and_closed
2012-01,43,acknowledged
2012-01,0,created
2010-12,23,acknowledged_and_closed
2010-12,27,acknowledged
2010-12,0,created
2012-06,103,acknowledged_and_closed
2012-06,130,acknowledged
2012-06,0,created
2012-05,61,acknowledged_and_closed
2012-05,77,acknowledged
2012-05,0,created
2012-04,55,acknowledged_and_closed
2012-04,76,acknowledged
2012-04,0,created
2010-05,2,acknowledged_and_closed
2010-05,5,acknowledged
2010-05,0,created
2010-04,3,acknowledged_and_closed
2010-04,3,acknowledged
2010-04,0,created
2011-08,40,acknowledged_and_closed
2011-08,49,acknowledged
2011-08,0,created
2011-09,26,acknowledged_and_closed
2011-09,34,acknowledged
2011-09,0,created
2011-02,34,acknowledged_and_closed
2011-02,42,acknowledged
2011-02,0,created
2011-03,26,acknowledged_and_closed
2011-03,32,acknowledged
2011-03,0,created
2011-01,25,acknowledged_and_closed
2011-01,27,acknowledged
2011-01,0,created
2011-06,21,acknowledged_and_closed
2011-06,33,acknowledged
2011-06,0,created
2011-07,36,acknowledged_and_closed
2011-07,42,acknowledged
2011-07,0,created
2011-04,20,acknowledged_and_closed
2011-04,34,acknowledged
2011-04,0,created
2011-05,30,acknowledged_and_closed
2011-05,33,acknowledged
2011-05,0,created
2010-09,7,acknowledged_and_closed
2010-09,8,acknowledged
2010-09,0,created
2013-05,207,acknowledged_and_closed
2013-05,305,acknowledged
2013-05,0,created
2012-10,198,acknowledged_and_closed
2012-10,229,acknowledged
2012-10,0,created
2012-11,163,acknowledged_and_closed
2012-11,193,acknowledged
2012-11,0,created
2012-12,198,acknowledged_and_closed
2012-12,246,acknowledged
2012-12,0,created
2007-08,1,acknowledged_and_closed
2007-08,1,acknowledged
2007-08,0,created
2007-07,1,acknowledged_and_closed
2007-07,1,acknowledged
2007-07,0,created
2007-10,0,acknowledged_and_closed
2007-10,1,acknowledged
2007-10,0,created
2008-12,1,acknowledged_and_closed
2008-12,2,acknowledged
2008-12,0,created
2008-11,4,acknowledged_and_closed
2008-11,4,acknowledged
2008-11,0,created
2008-10,2,acknowledged_and_closed
2008-10,3,acknowledged
2008-10,0,created
2008-08,1,acknowledged_and_closed
2008-08,1,acknowledged
2008-08,0,created
2008-09,0,acknowledged_and_closed
2008-09,0,acknowledged
2008-09,0,created
2008-02,1,acknowledged_and_closed
2008-02,1,acknowledged
2008-02,0,created
2008-03,0,acknowledged_and_closed
2008-03,0,acknowledged
2008-03,0,created
2008-04,0,acknowledged_and_closed
2008-04,0,acknowledged
2008-04,0,created
2008-05,0,acknowledged_and_closed
2008-05,1,acknowledged
2008-05,0,created
2008-06,0,acknowledged_and_closed
2008-06,0,acknowledged
2008-06,0,created
2008-07,0,acknowledged_and_closed
2008-07,0,acknowledged
2008-07,0,created
2009-07,2,acknowledged_and_closed
2009-07,3,acknowledged
2009-07,0,created
2009-06,4,acknowledged_and_closed
2009-06,4,acknowledged
2009-06,0,created
2009-05,2,acknowledged_and_closed
2009-05,4,acknowledged
2009-05,0,created
2009-04,1,acknowledged_and_closed
2009-04,1,acknowledged
2009-04,0,created
2009-03,0,acknowledged_and_closed
2009-03,1,acknowledged
2009-03,0,created
2009-02,2,acknowledged_and_closed
2009-02,2,acknowledged
2009-02,0,created
2009-01,1,acknowledged_and_closed
2009-01,1,acknowledged
2009-01,0,created
2009-09,1,acknowledged_and_closed
2009-09,1,acknowledged
2009-09,0,created
2009-08,3,acknowledged_and_closed
2009-08,4,acknowledged
2009-08,0,created
2013-12,244,acknowledged_and_closed
2013-12,323,acknowledged
2013-12,0,created
2013-11,148,acknowledged_and_closed
2013-11,256,acknowledged
2013-11,0,created
2013-10,232,acknowledged_and_closed
2013-10,399,acknowledged
2013-10,0,created
2009-10,1,acknowledged_and_closed
2009-10,1,acknowledged
2009-10,0,created
2009-11,3,acknowledged_and_closed
2009-11,4,acknowledged
2009-11,0,created
